text,sourcedb,sourceid
In vitro experiments with poly-ubiquitinated Hrd1 suggested that in general Cdc48 acts before Otu1-mediated trimming of the ubiquitin chains occurs. These investigations also suggested that Ubx2 prevents premature de-ubiquitination before substrate extraction by competing with Otu1 for binding to Cdc48.,PubMed,32731622
"On the opposite side of the nucleosome, two tandem zinc fingers in AEBP2 contact the ubiquitin attached to the other H2A subunit in the complex through the Ile44 hydrophobic patch.",PubMed,36105353
" RYBP is a ubiquitin-binding protein: this interaction is mediated by its zinc-finger domain, which is similar in sequence to NZF zinc-fingers known to bind ubiquitin. Ubiquitin binding by RYBP is important for PRC2-independent PRC1 recruitment in the context of X-chromosome inactivation in female ES cells.",PubMed,36105353
"The structure also revealed roles for the nucleosome itself in positioning the H2AK15-linked ubiquitin. First, direct contacts were observed between ubiquitin and the H2B C-terminal alpha helix",PubMed,36105353
"For ubiquitination assay, we expect to detect the protein of IGF2BP1 ubiquitination increased by E3 ligase. As shown in Figure 2, FBXO45 enhanced IGF2BP1 polyubiquitination, while the K190A or K450A mutants significantly blocked this action.",PubMed,36964909
"A good example is polyubiquitination of RIPK1 by the TRAF2-cIAP1-Ubc13-UbcH5 complex, which modulates K63-linked ubiquitination of RIPK1 (see Figure 2 in the main text).",PubMed,35033428
"In the context of BCR activation, TRAF3 essentially functions as a bridge to transfer K48-linked ubiquitin chains to NF-kappaB-inducing kinase (NIK) via the ubiquitin ligase complex (TRAF2-TRAF6-cIAP1/2).",PubMed,35033428
" A20 negatively regulates NF-kappaB signaling by inhibiting E3 ligase or substrate activity (TRAF2, TRAF6, cIAP1, RIPK1, and MALT1)",PubMed,35033428
A20 functions to deubiquitinate K63-ubiquitin linkages conjugated to MALT1 of CBM-Ubc13-TRAF6 complex and impairs TCR-induced NF-kappaB signaling; A20 also undergoes proteasomal degradation to restore TCR/CD28-induced IKK activation.,PubMed,35033428
"OTUD7B is a DUB that deubiquitinates K63-assembled ubiquitin chains from GbetaL, a substrate for TRAF2 E3 ligase.",PubMed,35033428
" USP49, a ubiquitin-specific protease, interacts with and deubiquitinates STING after HSV-1 infection.",PubMed,35033428
The SARS-CoV-2 PLPro protein inhibits TLR-7 signaling by deubiquitinating K63 linkages from TRAF3 and TRAF6 in human promonocyte cells that were stably transfected. ,PubMed,35033428
"The IAP family of proteins, including cIAP1, cIAP2, and XIAP, have E3 ubiquitin protein ligase activity. TRAF2 and TRAF6 form a complex with cIAP1/2 to conjugate K63-linked ubiquitin chains catalyzed by Ubc13, followed by NF-kappaB or MAPK activation in human immune cell activation via antigen and pattern recognition receptors (PRRs) ",PubMed,35033428
K63-linked polyubiquitin chains (red ovals) and linear polyubiquitin chains (green ovals) catalyzed by Ubc13-Uev1a and UbcH5/linear ubiquitin chain assembly complex (LUBAC) are necessary for efficient activation of immune and antiviral cell signaling pathways.,PubMed,35033428
"The tumor necrosis factor receptor 1 (TNFR1)-induced non-canonical mechanism involves K48-ubiquitin chain-mediated degradation of TNF receptor-associated factor 3 (TRAF3) by cellular inhibitor of apoptosis proteins 1/2 (cIAP1/2), release of TRAF2/TRAF6 for K63 ubiquitination, and activation of non-canonical nuclear factor KappaB (NF-kappaB)/MAPK.",PubMed,35033428
"Recently, Ubc13 was also shown to associate with NLRP3, catalyze K63-linked ubiquitination of NLRP3 and activate the inflammasome ",PubMed,35033428
NLRC5 undergoes K63 ubiquitination in the presence of TRAF2 or TRAF6 and ubiquitinated NLRC5 regulates the catalytic function of the IKK complex. ,PubMed,35033428
"NLRX1 is another non-inflammasome NLR that binds to TRAF6 and when stimulated with LPS, undergoes K63-linked ubiquitination; ubiquitinated NLRX1 inhibits IKK and NF-kappaB activation, as shown in overexpressed 293Ts (Box 3).",PubMed,22652769
One of the components of LUBAC is the ubiquitin ligase HOIL-1 which has been shown to generate oxyester linkages on several proteins and on linear polysaccharides. We show that HOIL-1 activity requires linear tetra-Ub binding which enables HOIL-1 to mono-ubiquitylate linear Ub chains and polysaccharides.,PubMed,36685275
"It has been shown that HOIL-1L mono-ubiquitylates several immune signaling proteins such as MyD88 (Myeloid differentiation factor 88), the IL-1 receptor associated kinases IRAK1and IRAK2 by catalyzing formation of an ester bond between the hydroxy group of serine or threonine residues and the C-terminal glycine of Ub.",PubMed,36685275
"E3 ubiquitin ligases that can catalyze the ubiquitylation of Notch include Itch, Ligand of Numb-Protein X (LNX), Deltex (DTX), Mind bomb (Mib) 1, Mib2, Neuralized (Neur) 1, and Neur2.",PubMed,35990660
"However, Zhao Y et al. reported that Cbl-b, together with Stub1, regulates thymic-derived CD4+ CD25+ regulatory T cells (tTregs) development by targeting Foxp3 for ubiquitination and degradation in the proteasome",PubMed,35990660
Membrane-associated RING-CH1 (MARCH1) is an E3 ubiquitin ligase that regulates MHCII ubiquitination,PubMed,35990660
"Another E3 ligase, MARCH8, is responsible for MHC II ubiquitination specifically in thymic epithelial cells.",PubMed,35990660
"Cdt2 binds directly onto proliferating cell nuclear antigen (PCNA) loaded on DNA, which serves as a landing pad for the independent recruitment of the ubiquitin ligase and its substrates.",PubMed,32044173
"Moreover, it was shown that mK3 could facilitate ubiquitination of a single serine, threonine or lysine (but not cysteine) residue placed close to the C-terminus of the cytosolic tail of MHC-I HC, resulting in its efficient degradation.",PubMed,31530095
"These surprising findings were extended to show that, even in the context of the native sequence, serine residues were preferentially ubiquitinated over lysine residues in a reaction catalysed by the E2 Ube2j2, a tail-anchored ER membrane protein, which was shown to be the cognate E2 of mK3.",PubMed,31530095
"We also showed that during zebrafish development, the ribosome was ubiquitinated by Znf598, an E3 ubiquitin ligase that activates RQC. Ribosomal protein Rps10/eS10 was found to be a key ubiquitinated protein during development.",PubMed,37751929
"Upon stimulation with inflammatory cytokines such as TNF-alpha, LUBAC conjugates an M1-polyubiquitin chain onto NF-kappaB-essential modulator (NEMO), receptor-interacting Ser/Thr kinase 1 (RIPK1), and other proteins.",PubMed,36726375
"A much more recent line of evidence for DDR leading to this atypical ubiquitination stems from the research on HUWE1, an E3 ligase that generates the majority of cellular K6-linked species upon inhibition of the valosin-containing protein (VCP/p97/Cdc48).",PubMed,33402098
"E4B belongs to the U-box E3 ubiquitin ligase family and functions as either an E3 or an E4 enzyme in protein ubiquitination. Lu et al. studied the differential degradation of TRA2A and PYCR2 by E3 ubiquitin ligase E4B. In their study, they validated the ubiquitination of TRA2A and PYCR2 by E4B in vitro and in mammalian cells. They found that E4B mediated the degradation by forming K11- and K48- linked polyubiquitin chains on TRA2A and PYCR2, respectively.",PubMed,35903546
Polyubiquitination of IRAK-1 and TRAF6 is induced by stimulation of interleukin-1 receptor (IL-1R) or of TLRs by pathogens. ,PubMed,33808578
"For example, the UBE2E family of E2 enzymes directly ubiquitinate the substrate SETDB1 in a manner independent of ubiquitin ligase E3, and conjugated ubiquitin is protected from active deubiquitination.",PubMed,35392171
"Our results are consistent with a model in which BRD1732 is ubiquitinated by RNF19 proteins, and accumulation of the resulting ubiquitin-BRD1732 conjugate leads to competitive inhibition of the ubiquitin-proteasome system (Fig. 4F).",PubMed,38328167
"The N-terminal end of proteins can be also targeted for ubiquitination. The ubiquitin-conjugating enzyme, UBE2W catalyzes ubiquitination on the N-terminal end of UCHL1 and UCHL5, altering their DUB activity. There are also several other proteins such as FKBP1A, SURF4, DUT, GADD45A, TXNL1, EIFR3G, TAM1, STAM, and PAPOLA targeted for the N-terminal ubiquitination in which the role of ubiquitination and the responsible enzymes remain unclear.",PubMed,38517379
"Ubiquitination of LPS is catalyzed by the RING-type ubiquitin ligase RNF213/Mysterin (Fig. 3 B), a distinct E3 ligase linked to Moyamoya disease, a cerebrovascular disorder. ",PubMed,38517379
"More recently, sugars (glycogen and maltoheptaose) were shown to be ubiquitinated by the RBR-type ubiquitin ligase HOIL-1 (Fig. 3 C). Sugar ubiquitination by HOIL-1 with the E2 UbcH7 has been confirmed in vitro.",PubMed,38517379
Rad6-Rad18 is the E2 ubiquitin-conjugating enzyme/E3 ubiquitin ligase that catalyzes the mono-ubiquitylation of PCNA.,PubMed,32013080
"Yeast Rad5 is a 134 kDa protein that has two functions. First, it is an E3 ubiquitin ligase that binds Ubc13-Mms2 and forms K63-linked poly-ubiquitin chains on mono-ubiquitylated PCNA.",PubMed,32013080
"A substantial amount of evidence suggests that the Rad18 protein, which is the E3 ubiquitin ligase responsible for PCNA mono-ubiquitylation, and the Rad5 protein, which is the E3 ubiquitin ligase responsible for PCNA poly-ubiquitylation, play a more direct role in orchestrating the events leading to DNA damage bypass than was originally thought.",PubMed,32013080
"IκBα ubiquitination occurs when IκBα is phosphorylated at Ser32/Ser36. Phosphorylation of Ser32/Ser36 allows certain ubiquitin E3 ligases to recognize IκBα. Ubiquitinated IκBα is then recognized by the proteasome complex, which leads to its degradation.",PubMed,32310512
"Depending on the linkage between ubiquitin molecules, these chains can encode distinct information. For example, chains linked through Lys48 of ubiquitin (K48-linked chains) are a targeting device for protein degradation by the 26S proteasome",PubMed,21978762
"Ubiquitin moieties are linked by an isopeptide bond between a Gly76 carboxyl group and either a Lys sidechain primary amino group (Lys6, Lys11, Lys27, Lys29, Lys33, Lys48, or Lys63) or the ubiquitin amino terminus (Met1)",PubMed,22652769
"The specific enzymes that
catalyze modification by ubiquitin-like proteins are somewhat
different from those involved in conjugation of ubiquitin,
though they utilize a similar mechanism. Thus SUMO (Small
Ubiquitin MOdifier), for example, is conjugated by a
heterodimeric E1-Aos1/Uba2, and the E2-conjugating enzyme
Ubc9. ",PubMed,15230346
"IKK then phosphorylates IκBα to target IκBα for K48 polyubiquitination, which leads to the degradation of ubiquitinated IκBα by the proteasome, allowing the p50/RelA complex to enter the nucleus and activate target genes.",PubMed,33840674
"In the non-canonical pathway, under unstimulated conditions, NIK is persistently degraded by the proteasome due to K48 polyubiquitination by cIAP1/2 because the TRAF2/TRAF3 heterodimer acts as a molecular bridge between NIK and cIAP1/2.",PubMed,33840674
"We focused on the E3 activity of TRAF6 and found that, upon IL-1 stimulation, TAK1 undergoes K63-type polyubiquitination catalyzed by TRAF6 (E3) and Ubc13 (E2), which is required for TAK1 activation.",PubMed,33840674
"BRCA1 polyubiquitinates CSB and this polyubiquitination and subsequent degradation of CSB occur following UV irradiation, even in the absence of Cockayne syndrome A (CSA) protein. ",PubMed,21756275
BRCA1 associates with RNA polymerase II (RNAPII)( 14 ) and mediates the ubiquitination of RNAPII following UV irradiation,PubMed,21756275
"Hypoxia inducible factor (HIF)-mediated response to hypoxic conditions is turned off by VHL-mediated ubiquitination of HIFα. To achieve this, VHL binds HIFα and recruits it to a specific E3 ubiquitin ligase complex, a Cullin-RING-ligase.",PubMed,25738382
The F-box protein Skp2 mediates c-Myc ubiquitylation by binding to the MB2 domain.,PubMed,10375532
"In this study, RagA was modified by polyubiquitination in an amino acid-sensitive manner. By screening a series of E3 ligases, RNF152, a lysosomal E3 ligase, was identified to mediate K63-linked polyubiquitination of RagA.",PubMed,32296023
"Moreover, SKP2, another E3 ligase, could mediate RagA polyubiquitination on lysine 15.",PubMed,32296023
"In addition to RNF152/SKP2, TRAF6, an E3 ligase, is also reported to regulate mTOR translocation to the lysosome in response to amino acid stimulation by catalyzing the K63 ubiquitination of mTOR in the form of the p62-TRAF6 heterodimer complex.",PubMed,32296023
"In this process, FBXW7 directly binds to mTOR and mediates its degradation by the proteasome (Fig. 2a)",PubMed,32296023
RNF168 plays a central role in the DNA damage response (DDR) by ubiquitylating histone H2A at K13 and K15.,PubMed,38242129
"Briefly, Rsp5 (NEDD4 in human cells) is responsible for generating a K63 linked poly-ubiquitin chain on RPB1, which is then trimmed to mono-ubiquitylation by the Rsp5-associated deubiquitinating enzyme (DUB) Ubp2.",PubMed,30769100
"While this two-ligase system has been successfully reconstituted for yeast and mammalian factors in vitro , the human E3 ligase VHL has also been shown to ubiquitylate RPB1 in vivo .",PubMed,30769100
"Consequently, p-T58-MYC is recognized by SCFFbw7 for K48-linked ubiquitination and degradation through the proteasome system.",PubMed,31832515
"As the substrate-binding subunit of the SCFSkp2 ubiquitin ligase complex, Skp2 was shown to bind to the MBII and bHLH-LZ domains of MYC and can mediate its ubiquitination and degradation during the G1/S transition of the cell cycle.",PubMed,31832515
" SCFFBXO32 targets MYC for proteasome degradation by promoting MYC ubiquitination at K326 via K48-linked ubiquitin chains independently of T58 or S62 phosphorylation. FBXO32 interacts with MYC at MBII, MBIV and a PEST (rich in proline, glutamic acid, serine and threonine) domain.",PubMed,31832515
"SPOP mediates ubiquitination and degradation of MYC by directly binding to MYC, while this binding is attenuated by the prostate cancer-associated mutations, SPOPF102C and SPOPF133V.",PubMed,31832515
"Recently, LINC01638 lncRNA has been shown to stabilize MYC by blocking the binding between SPOP and MYC and thus inhibiting SPOP- induced MYC ubiquitination and degradation in TNBCs, indicating a new RNA-mediated mechanism utilized by cancer cells to stabilize MYC protein.",PubMed,31832515
"However, subsequent studies showed that Pirh2 binds to MYC and mediates MYC polyubiquitination and proteasome degradation, suggesting that Pirh2 is a bona fide ubiquitin E3 ligase for MYC.",PubMed,31832515
" TRUSS interacts with both MYC and N-MYC at their C-terminal bHLH-LZ domain, thus mediating DCX-dependent MYC ubiquitination and degradation.",PubMed,31832515
It has been shown that CHIP mediates polyubiquitination of MYC for degradation and suppresses MYC activity.,PubMed,31832515
