text,sourcedb,sourceid
Most recently the structure of extracellular fragment of DR5 (residues 58 –184 or 1–130) complexed with its TRAIL/Ap02L ligand (residues 91–281 or 114 –281) emerged from two different groups,Microscopy Research and Technique Journal,10.1002/1097-0029(20000801)
RAF2 (TNFR associated factor 2) binds to the cytoplasmic domain of TNF receptors such as TNFR-1 and CD40 and medi-ates signal transduction,Microscopy Research and Technique Journal,10.1002/1097-0029(20000801)
"RANK is the sole sig-nalling receptor for the ligand RANKL (also known asTRANCE/ODF) and its activation is important for dif-ferentiation and activation of osteoclasts, which arenecessary for bone resorption and remodelling",Microscopy Research and Technique Journal,10.1002/1097-0029(20000801)
"Predicted tertiary and quaternary structures of a chimeric TNF inhibitor molecule generated by linking the extracellular domainof TNFR-1 to domains CH2, CH3, and CH4 of an IgG Heavy Chain.",Microscopy Research and Technique Journal,10.1002/1097-0029(20000801)
"The enzyme hexokinase binds glucose and ATP so as to catalyze a reaction between them, actin molecules bind to each other to assemble into actin filaments",Molecular Biology of the Cell Textbook,ISBN 9780393884821
"When both α subunits bind acetylcholine, the channel undergoes a conformational change that opens the gate by an outward rotation.",Molecular Biology of the Cell Textbook,ISBN 9780393884821
"Resident ER membrane proteins, for example, contain signals that bind directly to COPI coats ...Most membrane proteins that function at the interface between the ER and Golgi apparatus, including v- and t-SNAREs and some cargo receptors, use this retrieval pathway",Molecular Biology of the Cell Textbook,ISBN 9780393884822
Soluble ER resident proteins must bind to specialized receptor proteins such as the KDEL receptor,Molecular Biology of the Cell Textbook,ISBN 9780393884823
"the LDL receptor diffuses until an endocytosis signal in its cytoplasmic tail binds the adaptor protein AP2 after AP2’s conformation has been locally unlocked by binding to PI(4,5)P2 on the plasma membrane.",Molecular Biology of the Cell Textbook,ISBN 9780393884824
Cell-surface transferrin receptors deliver transferrin with its bound iron to early endosomes by receptor-mediated endocytosis.,Molecular Biology of the Cell Textbook,ISBN 9780393884825
IRS1 binds to specific phosphorylated tyrosines on the activated receptor and is then phosphorylated at multiple sites,Molecular Biology of the Cell Textbook,ISBN 9780393884826
Nerve growth factor (NGF) to bind to its specific RTK (called TrkA) at the end of a long nerve cell axon and signal to the cell body of the same cell a long distance away.,Molecular Biology of the Cell Textbook,ISBN 9780393884827
"The PI 3-kinase produces PI(3,4,5)P3, which serves as a docking site for two serine/threonine kinases with PH domains—Akt and the phosphoinositide-dependent kinase PDK1—and brings them into proximity at the plasma membrane.",Molecular Biology of the Cell Textbook,ISBN 9780393884828
"Activated TGFβ/activin receptors phosphorylate Smad2 or Smad3, while activated BMP receptors phosphorylate Smad1, Smad5, or Smad8. Once one of these receptor-activated Smads (R-Smads) has been phosphorylated, it binds to Smad4 (called a co-Smad), which can form a complex with any of the five R-Smads",Molecular Biology of the Cell Textbook,ISBN 9780393884829
"Hedgehog signaling begins at a cell-surface receptor called Patched, which employs a convoluted mechanism to activate a group of transcription regulators called Gli proteins",Molecular Biology of the Cell Textbook,ISBN 9780393884830
Activation of the Fas receptor on the surface of a target cell by Fas ligand on the surface of a killer (cytotoxic) lymphocyte,Molecular Biology of the Cell Textbook,ISBN 9780393884831
"the integrin-linked kinase (ILK) and its binding partners pinch and parvin, which together form a trimeric complex that serves as an organizing hub at many junctions.",Molecular Biology of the Cell Textbook,ISBN 9780393884832
"Cell–matrix junctions also employ several actin-binding proteins, such as vinculin, zyxin, VASP, and a-actinin, to promote the assembly and organization of actin filaments. ",Molecular Biology of the Cell Textbook,ISBN 9780393884833
"Notch is a transmembrane receptor protein (and latent transcription regulator) involved in many cell-fate choices in animal development, for example in the specification of nerve cells from ectodermal epithelium. Its ligands are cell-surface proteins such as Delta and Serrate.",Molecular Biology of the Cell Textbook,ISBN 9780393884834
"Many types of migrating cells are guided by chemotaxis that depends on a G-protein-coupled receptor, called CXCR4, which is activated by an extracellular ligand, CXCL12.",Molecular Biology of the Cell Textbook,ISBN 9780393884835
"An important example is HIV, which requires two types of receptors to enter a host cell. Its primary receptor is CD4, a cell-surface protein on helper T cells and macrophages... It also requires a co-receptor, which is either CCR5 (a receptor for β-chemokines) or CXCR4 (a receptor for α-chemokines), depending on the particular variant of the virus.",Molecular Biology of the Cell Textbook,ISBN 9780393884836
"The natural ligand for the chemokine receptors (Sdf1 for CXCR4; RANTES, MIP-1α, or MIP-1β for CCR5) blocks co-receptor function and prevents viral invasion.",Molecular Biology of the Cell Textbook,ISBN 9780393884837
"A human makes at least 10 different TLRs, each recognizing distinct ligands: TLR3, for example, recognizes double-stranded viral RNA in the endosomal lumen; TLR4 recognizes lipopolysaccharide (LPS) on the outer membrane of Gram-negative bacteria; TLR5 recognizes the protein that forms the bacterial flagellum; TLR7 and TLR8 recognize single- stranded viral RNA; and TLR9 recognizes short, unmethylated sequences of bacterial, viral, or protozoan DNA, called CpG motifs, which are uncommon in vertebrate DNA.",Molecular Biology of the Cell Textbook,ISBN 9780393884838
"For a naïve T cell, an activated dendritic cell provides the co-stimulatory signals; these include the transmembrane B7 proteins, which are recognized by the co-receptor protein CD28 on the surface of the T cell. ",Molecular Biology of the Cell Textbook,ISBN 9780393884839
"For a B cell, an effector TFH cell provides the co-stimulatory signals; these include the transmembrane CD40 ligand, which binds to CD40 receptors on the B cell ",Molecular Biology of the Cell Textbook,ISBN 9780393884840
"PD1 is expressed on activated T cells, and its prolonged binding to its cell-surface ligand (PDL1 or PDL2) on various cell types, including cancer cells, inhibits the activity of the T cells.",Molecular Biology of the Cell Textbook,ISBN 9780393884841
"The structure of the β2-adrenergic receptor, a receptor for the neurotransmitter epinephrine, illustrates the typical cylindrical arrangement of the seven transmembrane helices in a GPCR.",Molecular Biology of the Cell Textbook,ISBN 9780393884842
"When ephrin binding acti- vates the Eph receptor, the receptor activates a cytoplasmic tyrosine kinase that phosphorylates ephexin on a tyrosine, enhancing the ability of ephexin to activate the Rho protein RhoA.",Molecular Biology of the Cell Textbook,ISBN 9780393884843
the bacterial activator protein CAP has to bind cyclic AMP (cAMP) before it can bind to DNA,Molecular Biology of the Cell Textbook,ISBN 9780393884844
The binding of cAMP to the regulatory subunits of the PKA tetramer induces a conformational change,Molecular Biology of the Cell Textbook,ISBN 9780393884845
"The Rev protein interacts with a nuclear export receptor (Crm1), which directs the movement of viral RNAs through nuclear pores into the cytosol despite the presence of intron sequences.",Molecular Biology of the Cell Textbook,ISBN 9780393884846
the ganglioside GM1 acts as a cell-surface receptor for the bacterial toxin that causes the debilitating diarrhea of cholera. Cholera toxin binds to and enters only those cells that have GM1 on their surface,Molecular Biology of the Cell Textbook,ISBN 9780393884847
"strychnine, for example, binds to glycine receptors and prevents their inhibitory action",Molecular Biology of the Cell Textbook,ISBN 9780393884848
"When a signal sequence binds, SRP exposes a binding site for an SRP recep­tor, which is a transmembrane protein complex in the rough ER membrane.",Molecular Biology of the Cell Textbook,ISBN 9780393884849
Two proteins at the ER membrane called Get1 and Get2 serve not only as the receptor for Get3,Molecular Biology of the Cell Textbook,ISBN 9780393884850
"Each AP2 complex binds four PI(4,5)P2 molecules",Molecular Biology of the Cell Textbook,ISBN 9780393884851
a specific Sar1 GEF embedded in the ER membrane binds to cytosolic Sar1,Molecular Biology of the Cell Textbook,ISBN 9780393884852
"Transmembrane M6P receptor proteins, which are present in the TGN, recognize the M6P groups and bind to the lysosomal hydrolases on the lumenal side of the membrane and to adaptor proteins in assembling clathrin coats on the cytosolic side.",Molecular Biology of the Cell Textbook,ISBN 9780393884853
"Inositol 1,4,5-trisphosphate (IP3) diffuses through the cytosol and releases Ca2+ from the ER by binding to and opening IP3-gated Ca2+-release channels (IP3 receptors) in the ER membrane",Molecular Biology of the Cell Textbook,ISBN 9780393884854
"Calmodulin functions as a multi- purpose intracellular Ca2+ receptor, governing many Ca2+-regulated processes.",Molecular Biology of the Cell Textbook,ISBN 9780393884855
"In some target cells, including smooth muscle cells, NO binds reversibly to iron in the active site of guanylyl cyclase, stimulating synthesis of cyclic GMP",Molecular Biology of the Cell Textbook,ISBN 9780393884856
"Frizzled contains an extracellular domain that binds with high affinity to Wnt, due in part to a hydrophobic pocket on the receptor domain that interacts with the lipid modification on Wnt; this lipid is therefore required for Wnt signaling. LRP interacts with a different site on Wnt.",Molecular Biology of the Cell Textbook,ISBN 9780393884857
"The laminin molecules that generate the initial sheet structure first join to each other while bound to receptors on the surface of the cells. The cell-surface receptors are primarily members of the integrin family, but another important type of laminin receptor is dystroglycan, a highly glycosylated transmembrane protein.",Molecular Biology of the Cell Textbook,ISBN 9780393884858
α5β1 is a fibronectin receptor and α6β1 is a laminin receptor on many types of cells,Molecular Biology of the Cell Textbook,ISBN 9780393884859
"Toll and Torso are receptor proteins that are distributed all over the membrane but are activated only at the sites indicated by the coloring, through localized exposure to the extracellular ligands Spaetzle (the ligand for Toll) and Trunk (the ligand for Torso).",Molecular Biology of the Cell Textbook,ISBN 9780393884860
"The second transgene, CreERT2 (brown), encodes a chimeric form of the Cre recombinase called CreERT, which consists of the Cre recombinase linked to the estrogen receptor protein; this enzyme becomes active as a recombinase only when it binds the artificial estrogen analog tamoxifen",Molecular Biology of the Cell Textbook,ISBN 9780393884861
"an envelope protein of herpes simplex virus, for example, binds to heparan sulfate proteoglycans on the surface of certain vertebrate host cells, and simian virus 40 (SV40) binds to a glycolipid.",Molecular Biology of the Cell Textbook,ISBN 9780393884862
The IgE tail region binds to another class of Fc receptors on the surface of mast cells in tissues and of basophils in the blood,Molecular Biology of the Cell Textbook,ISBN 9780393884863
"A monoclonal antibody called trastuzumab (trade name Herceptin), which binds to Her2 and inhibits its function, slows the growth of human breast cancers that overexpress Her2 ",Molecular Biology of the Cell Textbook,ISBN 9780393884864
"the lymphocytes stop rolling, and they crawl out of the blood vessel into the lymph node by using yet another cell adhesion protein called CD31",Molecular Biology of the Cell Textbook,ISBN 9780393884865
