text,sourcedb,sourceid
ERK1/2 primarily phosphorylates c-Fos for inflammatory cytokine production,Pubmed,36281999
c-Jun is primarily phosphorylated by JNK which also promotes the nuclear translocation of ATF4 to form heterodimers with c-Jun for AP-1 activation,Pubmed,33202877
"p38 phosphorylates members of the
myocyte-enhancer factor 2 (MEF2) family of transcription factors, MEF2A and MEF2C, downstream of
activated TLRs to control anti-inflammatory IL-10 production [49] as well as stimulating expression of c-Jun,
thereby influencing AP-1-mediated cytokine expression",Pubmed,33202877
"ERK2-mediated phosphorylation of PARP1 has been shown to control NF-κB transcriptional activation in response to TNF stimulation, indicating how ERK1/2 can play a role in NF-κB regulation in response to other inflammatory mediators.",Pubmed,36281999
"After liberation from p105, TPL2 directly phosphorylates MEK and thereby activates downstream ERK MAPK signalling",Pubmed,36281999
"This is initiated by phosphorylation of CARMA1 by activated PKCθ, which is required for its oligomerization and association with BCL10",Pubmed,19290929
mTORC2 phosphorylates AKT at S473 and PKCθ at S660/676 to induce Th1 and Th2 differentiation respectively,Pubmed,34897277
"IL-2-inducible T cell kinase (ITK) is also associated with PIP3, and this kinase is important for phosphorylation and activation of PLCγ1.",Pubmed,32808093
"Upon TCR stimulation, SLP-76 gets phosphorylated by ZAP-70 at its multiple tyrosine residues, which serve as binding sites for various SH2 domain-containing proteins.",Pubmed,20452964
"Within the TNFR1 signaling complex I, the kinase TAK1 phosphorylates and activates IKK",Pubmed,28842570
"protein kinase RNA-like ER kinase (PERK), which reduces general protein synthesis by phosphorylation of eukaryotic initiation factor 2alpha (eIF2α) but also promotes enhanced translation of selected mRNAs including that encoding the transcription factor ATF4",Pubmed,27211800
"Neither has intrinsic kinase activity or is known to be phosphotylated by a membrane bound or cytoplasmic kinases, but recently murine TNFR-1 has been shown to be preferentially phosphorylated by mitogen activated protein kinase (MAPK) on Thr-236 and Ser-270  and humanTNFR-1 to be phosphorylated on Tyr-331",Pubmed,34067256
"At the membrane, Akt/PKB is phosphorylated on two key residues: Thr308 (T308) of the activation loop by PDK1 and Ser473 (S473) in the hydrophobic motif of the C-terminal tail by a kinase whose identity has been elusive",Pubmed,21505451
"Moreover, FAK phosphorylation is reduced in unloaded human skeletal muscle suggesting that it is a reasonable candidate for sensing mechanical loads",Pubmed,18556367
Akt phosphorylation was increased by 1.5-fold above rest immediately and 4 h after acute exercise in both the endurance and resistance modes,Pubmed,18556367
Acute exercise before training in both modes of exercise increased p70S6K phosphorylation above resting values immediately after exercise,Pubmed,18556367
rpS6 phosphorylation was significantly increased by 1.8-fold 4 h after acute resistance exercise before training,Pubmed,18556367
"In the untrained state, eIF4E phosphorylation did not change immediately after acute exercise in either mode",Pubmed,18556367
"AMPK phosphorylation increased by 6-fold immediately after acute exercise of both modes in both the untrained and trained states, but returned to baseline values by 4 h after exercise",Pubmed,18556367
After both modes of training resting FAK phosphorylation was significantly greater than before training,Pubmed,18556367
"In the absence of a Wnt signal, GSK3 is active and phosphorylates Axin, and b-catenin.",Pubmed,37759479
"Phosphorylation of a unique 572 amino acid sequence within the N2-B domain (N2-Bus) by cAMPdependent protein kinase (PK)A lowers passive stiffness in rat, bovine, and human myocardium via yet unknown mech anisms",Protein kinase G modulates human myocardial passive stiffness by phosphorylation of the titin springs,10.1186/1471-2210-9-S1-P37
"We wanted to know whether cGMP-activated PKG can phosphorylate titin in mammalian, particularly human, heart
and whether this posttranslational modification can improve
diastolic function by reducing titin-based stiffness.",Protein kinase G modulates human myocardial passive stiffness by phosphorylation of the titin springs,10.1186/1471-2210-9-S1-P37
"membrane binding of newly-synthesized PKC, binding of sphingosine to Rac-bound PAK, phosphorylation of p70S6 kinase and p90RSK by MAPK (and possibly other pathways), and binding of Rho to PRK.",Pubmed,10082559
"Interestingly, the hydrophobic motif of PKB/Akt has a very low affinity for PDK-1, and mounting evidence suggests that mechanisms other than docking to the hydrophobic site may determine the phosphorylation of PKB/Akt by PDK-1",Pubmed,17609368
"Furthermore, AMPK phosphorylates PGC1a directly both in vitro and in cells.",Pubmed,17609368
These direct phosphorylations of the PGC1a protein at threonine-177 and serine-538 are required for the PGC1a dependent induction of the PGC1a promoter,Pubmed,17609368
"fatty acid oxidation is acutely increased by phosphorylation of acetyl-CoA-carboxylase-2 (ACC-2) leading to a decrease in malonyl-CoA, an inhibitor of carnitine Opalmitoyltransferase-1.",Pubmed,29976587
The ability of CDC2 to phosphorylate Bcl-2 was confirmed by in vitro kinase assay with a highly purified CDC2-cyclin B complex.,Pubmed,10766756
"To convincingly demonstrate that Bcl-2 is phosphorylated by CDC2, we carried out in vitro kinase assays using a highly purified CDC2-cyclin B complex. This complex efficiently phosphorylated histone H1, a specific substrate of CDC2 (27), in a dose-dependent manner, confirming that its activity is maintained in vitro",Pubmed,10766756
"LPS-induced SQSTM1 secretion requires SQSTM1 phosphorylation at Ser403, and this process is positively regulated by STING1/STING/TMEM173 (stimulator of interferon response cGAMP interactor 1)-dependent TBK1 (TANK binding kinase 1) activation.",Pubmed,33111608
"rSQSTM1-mediated phosphorylation of INSR causes subsequent phosphorylation of PLCG1 (phospholipase C gamma 1) and PTK2B/PYK2 (protein tyrosine kinase 2 beta), leading to the phosphorylation of RELA/p65 (RELA proto-oncogene, NF-kB subunit) during NFKB activation.",Pubmed,33111608
"Activated TBK1, in turn, phosphorylates STING at Ser366 (unless otherwise indicated, we refer to the human protein sequence) in the CTT, which is part of a pLxIS motif (in which p represents the hydrophilic residue, x represents any residue and S represents the phosphorylation site) and which allows the STING–TBK1 complex to recruit IRF3",Pubmed,36550103
"TBK1 then phosphorylates IRF3, enabling its dimerization, nuclear translocation and target gene induction.",Pubmed,23395611
"In the present report, we investigated the effect of curcumin on constitutively active and IL-6-inducible STAT3 phosphorylation in MM cells.",Pubmed,14500688
"Our results show that IFN-alpha induced STAT1 phosphorylation, and curcumin suppressed the phosphorylation in a time-dependent manner",Pubmed,14500688
Because IL-6 is a growth factor for MM and induces STAT3 phosphorylation,Pubmed,21520044
"AG490 is considered to be an inhibitor of JAK2, a kinase that phosphorylates STAT3.",Pubmed,21520044
"LLL12 specifically inhibited STAT3 phosphorylation, nuclear localization, DNA binding activity, down-regulated STAT3 downstream genes, and induced apoptosis in MM cells.",Pubmed,21520044
"LLL12 also inhibited STAT3 phosphorylation induced by interleukin-6 (IL-6) and interferon-a but not STAT1, STAT2, STAT4 and STAT6 phosphorylation induced by interferon-a, interferon-c and IL-4 indicating the selectivity of LLL12 for STAT3.",Pubmed,21520044
"STAT3 activation occurs through phosphorylation of the tyrosine 705 (Tyr705) residue, leading to dimerization and translocation from the cytoplasm to the nucleus.",Pubmed,21520044
we demonstrate that TFAM is phosphorylated within its HMG box 1 (HMG1) by cAMP-dependent protein kinase in mitochondria,Pubmed,23201127
The PKA inhibitors H89 or KT5720 blocked phosphorylation of overexpressed TFAM at serine 55,Pubmed,23201127
The activity of PKAa was confirmed by its phosphorylation of histone deacetylase 8 (HDAC8) at serine 39,Pubmed,23201127
human Ago2 is phosphorylated at serine-387 leading to altered cellular localization,Pubmed,23201127
Our findings suggest that BRD4-driven Pol II phosphorylation at serine 2 plays an important role in regulating lineage- specific gene transcription in human CD4+ T cells.,Pubmed,23086925
Phosphorylation of serine 5 (Ser-5) in the C-terminal domain of RNA polymerase II (Pol II)3 is associated with initiation,Pubmed,24879308
"In response to postprandial increase in insulin, Akt phosphorylation of T308 and S473 correlated significantly with sites on TBC1D1 (T596) and TBC1D4 (S318, S341, S704).",Pubmed,24247980
"Exercise induced phosphorylation of TBC1D1 (S237, T596) that correlated significantly with activity of the α2/β2/γ3 AMPK trimer, whereas TBC1D4 phosphorylation (S341, S704) with exercise correlated with activity of the α2/β2/γ1 AMPK trime",Pubmed,24247980
Phosphorylation of AMPK on T172 is essential for its activation and S221 on ACC is a well-established AMPK target,Pubmed,24247980
Full activation of Akt requires phosphorylation of T308 and S473,Pubmed,24247980
"In the fasted state, phosphorylation of T308 did not increase significantly with exercise",Pubmed,24247980
"In the fed state, on the other hand, T308 phosphorylation was significantly increased in both the rested and exercised leg.",Pubmed,24247980
Phosphorylation of AMPK at T172 correlates well with total AMPK kinase activity in human skeletal muscle during whole body exercise,Pubmed,24247980
"On the other hand, T596 phosphorylation was regulated by both exercise (70%) and physiological insulin (35%), and the two stimuli combined gave an additive response",Pubmed,24247980
"In addition, S660 has been shown to be phosphorylated in response to exercise in human skeletal muscle",Pubmed,24247980
Here we show that both S660 and S700 are phosphorylated exclusively by exercise and not by physiological insulin in human skeletal muscle,Pubmed,24247980
Recent studies have suggested that the enzymatic activity of DNMT1 is possibly modulated by phosphorylation of serine/threonine residues located in the N-terminal domain of the enzyme,Pubmed,21565170
Our data suggest that phosphorylation of DNMT1 at Ser154 by CDKs is important for enzymatic activity and protein stability of DNMT1,Pubmed,21565170
"In the present work, we report that members of the cyclin-dependent kinase (CDK) family, including CDK1, 2 and 5, can phosphorylate human DNMT1 at Ser154.",Pubmed,21565170
"After this key step, Dbf4-dependent kinase (DDK) and cyclin-dependent kinases (Cdks) phosphorylate MCM2–7, leading to the recruitment of Cdc45 and GINS (Go, Ichi, Ni, and San) to form the CMG (Cdc45–MCMs–GINS) replicative helicase complex",Pubmed,30062004
"In general, Cdc7 phosphorylation of MCMs is essential for the initiation of DNA replication",Pubmed,30062004
Cdk2/CycE phosphorylation of MCM3 Thr-722 promoted its chromatin loading,Pubmed,30062004
it was found that both Cdk2/CycE and Cdk1/CycB phosphorylate MCM7 at Ser-121,Pubmed,30062004
"Similarly, Cdk1/2-dependent phosphorylation of MCM4 at multiple sites decreases the binding of MCM complex to DNA, avoiding re-replication during mitosis",Pubmed,30062004
"Interestingly, studies on the nuclear localization of chromatin-bound MCM4, phosphorylated at the Ser-3 and Ser-32 by Cdk2, showed that the nuclear localization was not generally colocalized with replicating DNA",Pubmed,30062004
"It was suggested by Shi et al. that ATM phosphorylated human MCM3 C-terminal at Ser-728, in response to DNA damage.",Pubmed,30062004
"Whereas ATR phosphorylated MCM2 at Ser-108 in response to multiple forms of DNA damage and stalling of replication forks including: IR, UV light, HU, and polyamides",Pubmed,30062004
"MCM7 phosphorylation at Tyr-600 mediated by epidermal growth factor receptor (EGFR)-p56Lyn-axis promotes MCM complex assembly and chromatin loading, consequently enhancing DNA synthesis and cancer cell proliferation",Pubmed,30062004
MCM3 was reported to be phosphorylated by death-associated protein kinase (DAPK) at Ser-160,Pubmed,30062004
MCM4 was phosphorylated by Epstein–Barr virus-encoded protein kinase (EBV-PK) at Thr-19 and Thr-110,Pubmed,30062004
"SIK1-dependent MCM2 phosphorylation, mediated by Sld5, is required for MCM helicase activity, but it does not affect the chromatin association of MCM2",Pubmed,30062004
Here we show that c-Src phosphorylates human HNF4α on three tyrosines in an interdependent and isoform-specific fashion.,Pubmed,22308320
We also show that the phosphorylation is influenced by the SH2 and SH3 domains of Src and by SNPs in HNF4α.,Pubmed,22308320
"Phosphorylation of Nrf2 at Ser-40 through a PKCbased mechanism has been reported to play a critical role in the dissociation of Nrf2 from Keap1, an negative regulator of Nrf2",Pubmed,2230832000.00%
