index,sentence,label
37,"It is worth mentioning that the RLR LGP2 associates with the C-terminus of TRAF2, TRAF3, TRAF5, and TRAF6 and acts as a pan-inhibitor of stimuli using these TRAF proteins for activation of the classical NFκB pathway",1
38,Many of the triggers of apoptotic JNK signaling engage the JNK pathway by TRAF2-dependent activation of the MAP3K apoptosis signal-regulating kinase 1 (ASK1). The latter is kept inactive in cells by binding to thioredoxin (Trx).,1
39,"ROS formation, e.g., in response to TNF, results in dissociation of the ASK1-Trx complex giving TRAF2 access to ASK1.",1
40,"Worth mentioning, TRAF2 has also been found to bind and stimulate the mammalian ste20-like kinase 1 (MST1)",1
41,"Bcl-2 and Bcl-xL attenuate autophagy by binding and inhibition of Beclin-1, thereby hindering the latter to stimulate the ULK1 complex, which promotes autophagosome initiating vesicle nucleation.",1
42,"Similarly, the anti-inflammatory triterpene celastrol binds to Nur77, resulting in enhanced TRAF2-Nur77 interaction and eventually mitophagy",1
43,"More important, TRAF2 binds and stabilizes the β-catenin-TNIK-TCF4 complex thereby crucially contributing to TCF4 activation",1
44,Jia et al. reported recently that TRAF2 binds LRPPRC to ubiquitinate argininosuccinate synthase 1 marking this enzyme for degradation resulting in reduced arginine synthesis,1
45,"The first structure of GPCR bound to a diffusible ligand was β2AR, which was crystallized bound to a high-affinity inverse agonist, carazolol, in lipid bicelles bound to a Fab fragment and in lipidic cubic phase as a chimeric protein in which T4 lysozyme (T4L) replaced most of ICL3",1
46,Similar results were found for activated opsin bound to the C-terminal peptide of the transducin α subunit and the A2aR–mini-Gsα complex,1
47,"Binding of TNFα to the 75 kDa TNFR-2 is not sufﬁcient to attain cytotoxicity (Thoma et al., 1990),but rather binding to the 55 kDa TNFR-1 is sufﬁcient to attain TNFα mediated cell killing (Van Ostade et al.,1993).",1
48,"Decoy receptors (DcR1, DcR2, and DcR3) sequester Trail (DcR1 and DCR2) and Fas (DcR3) ligands, thereby preventing apoptosis (Ashkenazi and Dixit,1999).",1
49,"The differences were par-ticularly marked for CD40L, which binds to CD40 and does not bind to TNFR-1 or TNFR-2.",1
50,Model complexes of TNFα with receptors TNFR-1 and TNFR-2 suggest that Arg31 of TNFα forms an ionic interaction with a Glu residue in both receptors.,1
51,The complex between TNFβ and the extracellulardomain of TNFR-1 was the ﬁrst view of the receptor,1
52,Most recently the structure of extracellular fragment of DR5 (residues 58 –184 or 1–130) complexed with its TRAIL/Ap02L ligand (residues 91–281 or 114 –281) emerged from two different groups,1
53,RAF2 (TNFR associated factor 2) binds to the cytoplasmic domain of TNF receptors such as TNFR-1 and CD40 and mediates signal transduction,1
54,"RANK is the sole sig-nalling receptor for the ligand RANKL (also known asTRANCE/ODF) and its activation is important for dif-ferentiation and activation of osteoclasts, which arenecessary for bone resorption and remodelling",1
55,"Predicted tertiary and quaternary structures of a chimeric TNF inhibitor molecule generated by linking the extracellular domainof TNFR-1 to domains CH2, CH3, and CH4 of an IgG Heavy Chain.",1
56,"The enzyme hexokinase binds glucose and ATP so as to catalyze a reaction between them, actin molecules bind to each other to assemble into actin filaments",1
57,"When both α subunits bind acetylcholine, the channel undergoes a conformational change that opens the gate by an outward rotation.",1
58,"Resident ER membrane proteins, for example, contain signals that bind directly to COPI coats ...Most membrane proteins that function at the interface between the ER and Golgi apparatus, including v- and t-SNAREs and some cargo receptors, use this retrieval pathway",1
59,Soluble ER resident proteins must bind to specialized receptor proteins such as the KDEL receptor,1
60,"the LDL receptor diffuses until an endocytosis signal in its cytoplasmic tail binds the adaptor protein AP2 after AP2’s conformation has been locally unlocked by binding to PI(4,5)P2 on the plasma membrane.",1
61,Cell-surface transferrin receptors deliver transferrin with its bound iron to early endosomes by receptor-mediated endocytosis.,1
62,IRS1 binds to specific phosphorylated tyrosines on the activated receptor and is then phosphorylated at multiple sites,1
63,Nerve growth factor (NGF) to bind to its specific RTK (called TrkA) at the end of a long nerve cell axon and signal to the cell body of the same cell a long distance away.,1
64,"The PI 3-kinase produces PI(3,4,5)P3, which serves as a docking site for two serine/threonine kinases with PH domains—Akt and the phosphoinositide-dependent kinase PDK1—and brings them into proximity at the plasma membrane.",1
65,"Activated TGFβ/activin receptors phosphorylate Smad2 or Smad3, while activated BMP receptors phosphorylate Smad1, Smad5, or Smad8. Once one of these receptor-activated Smads (R-Smads) has been phosphorylated, it binds to Smad4 (called a co-Smad), which can form a complex with any of the five R-Smads",1
66,"Hedgehog signaling begins at a cell-surface receptor called Patched, which employs a convoluted mechanism to activate a group of transcription regulators called Gli proteins",1
67,Activation of the Fas receptor on the surface of a target cell by Fas ligand on the surface of a killer (cytotoxic) lymphocyte,1
68,"the integrin-linked kinase (ILK) and its binding partners pinch and parvin, which together form a trimeric complex that serves as an organizing hub at many junctions.",1
69,"Cell–matrix junctions also employ several actin-binding proteins, such as vinculin, zyxin, VASP, and a-actinin, to promote the assembly and organization of actin filaments. ",1
70,"Notch is a transmembrane receptor protein (and latent transcription regulator) involved in many cell-fate choices in animal development, for example in the specification of nerve cells from ectodermal epithelium. Its ligands are cell-surface proteins such as Delta and Serrate.",1
71,"Many types of migrating cells are guided by chemotaxis that depends on a G-protein-coupled receptor, called CXCR4, which is activated by an extracellular ligand, CXCL12.",1
72,"An important example is HIV, which requires two types of receptors to enter a host cell. Its primary receptor is CD4, a cell-surface protein on helper T cells and macrophages... It also requires a co-receptor, which is either CCR5 (a receptor for β-chemokines) or CXCR4 (a receptor for α-chemokines), depending on the particular variant of the virus.",1
73,"The natural ligand for the chemokine receptors (Sdf1 for CXCR4; RANTES, MIP-1α, or MIP-1β for CCR5) blocks co-receptor function and prevents viral invasion.",1
74,"A human makes at least 10 different TLRs, each recognizing distinct ligands: TLR3, for example, recognizes double-stranded viral RNA in the endosomal lumen; TLR4 recognizes lipopolysaccharide (LPS) on the outer membrane of Gram-negative bacteria; TLR5 recognizes the protein that forms the bacterial flagellum; TLR7 and TLR8 recognize single- stranded viral RNA; and TLR9 recognizes short, unmethylated sequences of bacterial, viral, or protozoan DNA, called CpG motifs, which are uncommon in vertebrate DNA.",1
75,"For a naïve T cell, an activated dendritic cell provides the co-stimulatory signals; these include the transmembrane B7 proteins, which are recognized by the co-receptor protein CD28 on the surface of the T cell.",1
76,"For a B cell, an effector TFH cell provides the co-stimulatory signals; these include the transmembrane CD40 ligand, which binds to CD40 receptors on the B cell",1
77,"PD1 is expressed on activated T cells, and its prolonged binding to its cell-surface ligand (PDL1 or PDL2) on various cell types, including cancer cells, inhibits the activity of the T cells.",1
78,"The structure of the β2-adrenergic receptor, a receptor for the neurotransmitter epinephrine, illustrates the typical cylindrical arrangement of the seven transmembrane helices in a GPCR.",1
79,"When ephrin binding acti- vates the Eph receptor, the receptor activates a cytoplasmic tyrosine kinase that phosphorylates ephexin on a tyrosine, enhancing the ability of ephexin to activate the Rho protein RhoA.",1
80,the bacterial activator protein CAP has to bind cyclic AMP (cAMP) before it can bind to DNA,1
81,The binding of cAMP to the regulatory subunits of the PKA tetramer induces a conformational change,1
82,"The Rev protein interacts with a nuclear export receptor (Crm1), which directs the movement of viral RNAs through nuclear pores into the cytosol despite the presence of intron sequences.",1
83,the ganglioside GM1 acts as a cell-surface receptor for the bacterial toxin that causes the debilitating diarrhea of cholera. Cholera toxin binds to and enters only those cells that have GM1 on their surface,1
84,"strychnine, for example, binds to glycine receptors and prevents their inhibitory action",1
85,"When a signal sequence binds, SRP exposes a binding site for an SRP recep­tor, which is a transmembrane protein complex in the rough ER membrane.",1
86,Two proteins at the ER membrane called Get1 and Get2 serve not only as the receptor for Get3,1
87,"Each AP2 complex binds four PI(4,5)P2 molecules",1
88,a specific Sar1 GEF embedded in the ER membrane binds to cytosolic Sar1,1
89,"Transmembrane M6P receptor proteins, which are present in the TGN, recognize the M6P groups and bind to the lysosomal hydrolases on the lumenal side of the membrane and to adaptor proteins in assembling clathrin coats on the cytosolic side.",1
90,"Inositol 1,4,5-trisphosphate (IP3) diffuses through the cytosol and releases Ca2+ from the ER by binding to and opening IP3-gated Ca2+-release channels (IP3 receptors) in the ER membrane",1
91,"Calmodulin functions as a multi- purpose intracellular Ca2+ receptor, governing many Ca2+-regulated processes.",1
92,"In some target cells, including smooth muscle cells, NO binds reversibly to iron in the active site of guanylyl cyclase, stimulating synthesis of cyclic GMP",1
93,"Frizzled contains an extracellular domain that binds with high affinity to Wnt, due in part to a hydrophobic pocket on the receptor domain that interacts with the lipid modification on Wnt; this lipid is therefore required for Wnt signaling. LRP interacts with a different site on Wnt.",1
94,"The laminin molecules that generate the initial sheet structure first join to each other while bound to receptors on the surface of the cells. The cell-surface receptors are primarily members of the integrin family, but another important type of laminin receptor is dystroglycan, a highly glycosylated transmembrane protein.",1
95,α5β1 is a fibronectin receptor and α6β1 is a laminin receptor on many types of cells,1
96,"Toll and Torso are receptor proteins that are distributed all over the membrane but are activated only at the sites indicated by the coloring, through localized exposure to the extracellular ligands Spaetzle (the ligand for Toll) and Trunk (the ligand for Torso).",1
97,"The second transgene, CreERT2 (brown), encodes a chimeric form of the Cre recombinase called CreERT, which consists of the Cre recombinase linked to the estrogen receptor protein; this enzyme becomes active as a recombinase only when it binds the artificial estrogen analog tamoxifen",1
98,"an envelope protein of herpes simplex virus, for example, binds to heparan sulfate proteoglycans on the surface of certain vertebrate host cells, and simian virus 40 (SV40) binds to a glycolipid.",1
99,The IgE tail region binds to another class of Fc receptors on the surface of mast cells in tissues and of basophils in the blood,1
100,"A monoclonal antibody called trastuzumab (trade name Herceptin), which binds to Her2 and inhibits its function, slows the growth of human breast cancers that overexpress Her2",1
101,"the lymphocytes stop rolling, and they crawl out of the blood vessel into the lymph node by using yet another cell adhesion protein called CD31",1
102,ATP is synthesized by coupling a reaction that is highly energetically favorable to an energetically unfavorable phosphorylation reaction in which a phosphate group is added to ADP (adenosine diphosphate),2
103,"Hexokinase catalyzes a phosphorylation reaction (an event) that converts glucose to glucose-6-phosphate, which is one of the reactions in a glycolysis pathway;",2
104,"The amino acid side chains of the four histones in the nucleosome core are subjected to a remarkable variety of covalent modifications, including the acetylation of lysines, the mono-, di-, and trimethylation of lysines, and the phosphorylation of serines",2
105,Much of the decrease in translation is caused by the phosphorylation of the translation initiation factor eIF2 by specific protein kinases that respond to the changes in conditions.,2
106,"This leads to phosphorylation of tyrosine side chains on the cytosolic part of the receptor, creating phosphotyrosine docking sites for various intracellular signaling proteins that relay the signal",2
107,"Activated TGFβ/activin receptors phosphorylate Smad2 or Smad3, while activated BMP receptors phosphorylate Smad1, Smad5, or Smad8.",2
108,"Phosphorylation of stathmin inhibits its binding to tubulin, and signals that cause stathmin phosphorylation can increase the rate of microtubule elongation and suppress dynamic instability.",2
109,"The cell lysate is then separated by SDS-PAGE gel, and phosphorylation of p38 is detected by Western blotting",2
110,"In addition, we present the techniques used to determine the effect these mutations have on activity of the Ras/MAPK pathway through Western blot analysis of the phosphorylation of endogenous ERK1/2,",2
111,Phosphorylation of both the threonine and tyrosine within this signature sequence is required for MAPK activation,2
112,"Fructose 2,6-bisphosphate is formed by phosphorylation of fructose-6-phosphate by phosphofructokinase-2.",2
113,D-Glyceraldehyde enters glycolysis via phosphorylation to glyceraldehyde-3-phosphate catalyzed by triokinase.,2
114,"Galactokinase catalyzes the phosphorylation of galactose, using ATP as phosphate donor (Figure 20–6). Galactose-1-phosphate reacts with UDPGlc to form uridine diphosphate galactose (UDPGal) and glucose-1-phosphate, in a reaction catalyzed by galactose-1-phosphate uridyl transferase.",2
115,Phosphorylation of carbamate by the second ATP then forms carbamoyl phosphate.,2
116,"Similarly, deoxycytidine kinase (EC 2.7.1.24 phosphorylates deoxycytidine and 2′- deoxyguanosine, forming dCMP and dGMP, respectively",2
117,"Insulin and mitogenic growth polypeptides, or growth factors (eg, IGF-1, PDGF, interleukin-2, and angiotensin II) activate the PI3 kinase/AKT kinase signaling pathways, which activate the mTOR kinase, and results in the phosphorylation of 4E-BP. Phosphorylated 4E-BP dissociates from 4E, and the latter is then able to form the 4F complex and bind to the mRNA cap.",2
118,"Optimal induction of NF-kB target genes also requires phosphorylation of NF-kB proteins, such as p65, within their transactivation domain by a variety of kinases in response to distinct stimuli.",2
119,The ankyrin-containing and inhibitory molecule p105 is also subjected to TNFa and IKK-mediated phosphorylation on Ser927 and Ser932,2
120,"In addition, glycogen synthase kinase 3b (GSK3b) phosphorylates p105 on Ser903 and Ser907 and stabilizes p105 by preventing its degradation in unstimulated cells",2
121,"After stimulus-induced IkBa-degradation, activated PKA phosphorylates p65 on Ser276",2
122,"Ser276 of p65 is also phosphorylated by the mitogen- and stress-activated protein kinase-1 (MSK1) in the nucleus, and this phosphorylation is required for an optimal TNFa-mediated NF-kB activation",2
123,Ser311 is another residue within the N-terminal Rel homology domain (RHD) domain that is targeted for phosphorylation by another kinase – protein kinase C (PKC)-z – in TNFa-stimulated cells,2
124,IL-1b stimulation also triggers p65 phosphorylation within minutes in the cytoplasm and CK2 activity associated with this NF-kB protein has been reported and This cytoplasmic CKII activity is also associated with p65 upon TNFa stimulation and targets Ser529 of this substrate,2
125,"Phosphorylation of RelB at Thr84 and Ser552 in cells stimulated by 12-O-tetradecanoylphorbol 13-acetate and ionomycin triggers degradation of RelB via the proteasome pathway but, again, the identity of the kinase that phosphorylates RelB at these residues is unknown at present",2
126,"Indeed, PKA-mediated phosphorylation at Ser337, which is located within the Rel homology domain, enhances the p50 DNA-binding abilities",2
127,ERK1/2 primarily phosphorylates c-Fos for inflammatory cytokine production,2
128,c-Jun is primarily phosphorylated by JNK which also promotes the nuclear translocation of ATF4 to form heterodimers with c-Jun for AP-1 activation,2
129,"p38 phosphorylates members of the myocyte-enhancer factor 2 (MEF2) family of transcription factors, MEF2A and MEF2C, downstream of activated TLRs to control anti-inflammatory IL-10 production [49] as well as stimulating expression of c-Jun, thereby influencing AP-1-mediated cytokine expression",2
130,"ERK2-mediated phosphorylation of PARP1 has been shown to control NF-κB transcriptional activation in response to TNF stimulation, indicating how ERK1/2 can play a role in NF-κB regulation in response to other inflammatory mediators.",2
131,"After liberation from p105, TPL2 directly phosphorylates MEK and thereby activates downstream ERK MAPK signalling",2
132,"This is initiated by phosphorylation of CARMA1 by activated PKCθ, which is required for its oligomerization and association with BCL10",2
133,mTORC2 phosphorylates AKT at S473 and PKCθ at S660/676 to induce Th1 and Th2 differentiation respectively,2
134,"IL-2-inducible T cell kinase (ITK) is also associated with PIP3, and this kinase is important for phosphorylation and activation of PLCγ1.",2
135,"Upon TCR stimulation, SLP-76 gets phosphorylated by ZAP-70 at its multiple tyrosine residues, which serve as binding sites for various SH2 domain-containing proteins.",2
136,"Within the TNFR1 signaling complex I, the kinase TAK1 phosphorylates and activates IKK",2
137,"protein kinase RNA-like ER kinase (PERK), which reduces general protein synthesis by phosphorylation of eukaryotic initiation factor 2alpha (eIF2α) but also promotes enhanced translation of selected mRNAs including that encoding the transcription factor ATF4",2
138,"Neither has intrinsic kinase activity or is known to be phosphotylated by a membrane bound or cytoplasmic kinases, but recently murine TNFR-1 has been shown to be preferentially phosphorylated by mitogen activated protein kinase (MAPK) on Thr-236 and Ser-270  and humanTNFR-1 to be phosphorylated on Tyr-331",2
139,"At the membrane, Akt/PKB is phosphorylated on two key residues: Thr308 (T308) of the activation loop by PDK1 and Ser473 (S473) in the hydrophobic motif of the C-terminal tail by a kinase whose identity has been elusive",2
140,"Moreover, FAK phosphorylation is reduced in unloaded human skeletal muscle suggesting that it is a reasonable candidate for sensing mechanical loads",2
141,Akt phosphorylation was increased by 1.5-fold above rest immediately and 4 h after acute exercise in both the endurance and resistance modes,2
142,Acute exercise before training in both modes of exercise increased p70S6K phosphorylation above resting values immediately after exercise,2
143,rpS6 phosphorylation was significantly increased by 1.8-fold 4 h after acute resistance exercise before training,2
144,"In the untrained state, eIF4E phosphorylation did not change immediately after acute exercise in either mode",2
145,"AMPK phosphorylation increased by 6-fold immediately after acute exercise of both modes in both the untrained and trained states, but returned to baseline values by 4 h after exercise",2
146,After both modes of training resting FAK phosphorylation was significantly greater than before training,2
147,"In the absence of a Wnt signal, GSK3 is active and phosphorylates Axin, and b-catenin.",2
148,"Phosphorylation of a unique 572 amino acid sequence within the N2-B domain (N2-Bus) by cAMPdependent protein kinase (PK)A lowers passive stiffness in rat, bovine, and human myocardium via yet unknown mech anisms",2
149,"We wanted to know whether cGMP-activated PKG can phosphorylate titin in mammalian, particularly human, heart and whether this posttranslational modification can improve diastolic function by reducing titin-based stiffness.",2
150,"membrane binding of newly-synthesized PKC, binding of sphingosine to Rac-bound PAK, phosphorylation of p70S6 kinase and p90RSK by MAPK (and possibly other pathways), and binding of Rho to PRK.",2
151,"Interestingly, the hydrophobic motif of PKB/Akt has a very low affinity for PDK-1, and mounting evidence suggests that mechanisms other than docking to the hydrophobic site may determine the phosphorylation of PKB/Akt by PDK-1",2
152,"Furthermore, AMPK phosphorylates PGC1a directly both in vitro and in cells.",2
153,These direct phosphorylations of the PGC1a protein at threonine-177 and serine-538 are required for the PGC1a dependent induction of the PGC1a promoter,2
154,"fatty acid oxidation is acutely increased by phosphorylation of acetyl-CoA-carboxylase-2 (ACC-2) leading to a decrease in malonyl-CoA, an inhibitor of carnitine Opalmitoyltransferase-1.",2
155,The ability of CDC2 to phosphorylate Bcl-2 was confirmed by in vitro kinase assay with a highly purified CDC2-cyclin B complex.,2
156,"To convincingly demonstrate that Bcl-2 is phosphorylated by CDC2, we carried out in vitro kinase assays using a highly purified CDC2-cyclin B complex. This complex efficiently phosphorylated histone H1, a specific substrate of CDC2 (27), in a dose-dependent manner, confirming that its activity is maintained in vitro",2
157,"LPS-induced SQSTM1 secretion requires SQSTM1 phosphorylation at Ser403, and this process is positively regulated by STING1/STING/TMEM173 (stimulator of interferon response cGAMP interactor 1)-dependent TBK1 (TANK binding kinase 1) activation.",2
158,"rSQSTM1-mediated phosphorylation of INSR causes subsequent phosphorylation of PLCG1 (phospholipase C gamma 1) and PTK2B/PYK2 (protein tyrosine kinase 2 beta), leading to the phosphorylation of RELA/p65 (RELA proto-oncogene, NF-kB subunit) during NFKB activation.",2
159,"Activated TBK1, in turn, phosphorylates STING at Ser366 (unless otherwise indicated, we refer to the human protein sequence) in the CTT, which is part of a pLxIS motif (in which p represents the hydrophilic residue, x represents any residue and S represents the phosphorylation site) and which allows the STING–TBK1 complex to recruit IRF3",2
160,"TBK1 then phosphorylates IRF3, enabling its dimerization, nuclear translocation and target gene induction.",2
161,"In the present report, we investigated the effect of curcumin on constitutively active and IL-6-inducible STAT3 phosphorylation in MM cells.",2
162,"Our results show that IFN-alpha induced STAT1 phosphorylation, and curcumin suppressed the phosphorylation in a time-dependent manner",2
163,Because IL-6 is a growth factor for MM and induces STAT3 phosphorylation,2
164,"AG490 is considered to be an inhibitor of JAK2, a kinase that phosphorylates STAT3.",2
165,"LLL12 specifically inhibited STAT3 phosphorylation, nuclear localization, DNA binding activity, down-regulated STAT3 downstream genes, and induced apoptosis in MM cells.",2
166,"LLL12 also inhibited STAT3 phosphorylation induced by interleukin-6 (IL-6) and interferon-a but not STAT1, STAT2, STAT4 and STAT6 phosphorylation induced by interferon-a, interferon-c and IL-4 indicating the selectivity of LLL12 for STAT3.",2
167,"STAT3 activation occurs through phosphorylation of the tyrosine 705 (Tyr705) residue, leading to dimerization and translocation from the cytoplasm to the nucleus.",2
168,we demonstrate that TFAM is phosphorylated within its HMG box 1 (HMG1) by cAMP-dependent protein kinase in mitochondria,2
169,The PKA inhibitors H89 or KT5720 blocked phosphorylation of overexpressed TFAM at serine 55,2
170,The activity of PKAa was confirmed by its phosphorylation of histone deacetylase 8 (HDAC8) at serine 39,2
171,human Ago2 is phosphorylated at serine-387 leading to altered cellular localization,2
172,Our findings suggest that BRD4-driven Pol II phosphorylation at serine 2 plays an important role in regulating lineage- specific gene transcription in human CD4+ T cells.,2
173,Phosphorylation of serine 5 (Ser-5) in the C-terminal domain of RNA polymerase II (Pol II)3 is associated with initiation,2
174,"In response to postprandial increase in insulin, Akt phosphorylation of T308 and S473 correlated significantly with sites on TBC1D1 (T596) and TBC1D4 (S318, S341, S704).",2
175,"Exercise induced phosphorylation of TBC1D1 (S237, T596) that correlated significantly with activity of the α2/β2/γ3 AMPK trimer, whereas TBC1D4 phosphorylation (S341, S704) with exercise correlated with activity of the α2/β2/γ1 AMPK trime",2
176,Phosphorylation of AMPK on T172 is essential for its activation and S221 on ACC is a well-established AMPK target,2
177,Full activation of Akt requires phosphorylation of T308 and S473,2
178,"In the fasted state, phosphorylation of T308 did not increase significantly with exercise",2
179,"In the fed state, on the other hand, T308 phosphorylation was significantly increased in both the rested and exercised leg.",2
180,Phosphorylation of AMPK at T172 correlates well with total AMPK kinase activity in human skeletal muscle during whole body exercise,2
181,"On the other hand, T596 phosphorylation was regulated by both exercise (70%) and physiological insulin (35%), and the two stimuli combined gave an additive response",2
182,"In addition, S660 has been shown to be phosphorylated in response to exercise in human skeletal muscle",2
183,Here we show that both S660 and S700 are phosphorylated exclusively by exercise and not by physiological insulin in human skeletal muscle,2
184,Recent studies have suggested that the enzymatic activity of DNMT1 is possibly modulated by phosphorylation of serine/threonine residues located in the N-terminal domain of the enzyme,2
185,Our data suggest that phosphorylation of DNMT1 at Ser154 by CDKs is important for enzymatic activity and protein stability of DNMT1,2
186,"In the present work, we report that members of the cyclin-dependent kinase (CDK) family, including CDK1, 2 and 5, can phosphorylate human DNMT1 at Ser154.",2
