pmid,title,chunk_id,token_count,text
41868184,Advances and Therapeutic Potential of Anthraquinone Compounds in Neurodegenerative Diseases: A Comprehensive Review.,1,86,"Furthermore, anthraquinones inhibit pyroptosis, apoptosis, tau phosphorylation, Aβ/α-synuclein aggregation, and acetylcholinesterase activity, while restoring metal homeostasis, activating estrogen receptors, modulating gut microbiota, increasing BDNF levels, and preserving blood-brain barrier permeability."
41862620,Balancing inflammation and regeneration: immune cell dynamics in nerve repair: a comprehensive review.,1,54,"METHOD: Relevant literature on immune responses and metabolic regulation in nerve injury wasanalyzed to explore how shifts between glycolysis, oxidative phosphorylation, and fatty acidoxidation govern the balance between inflammatory and reparative states."
41868147,Mitochondrial stress as a conceptual interface between bacterial infection and post-infectious metabolic disease.,1,46,"This stress encompasses alterations in oxidative phosphorylation, mitochondrial dynamics, calcium handling, reactive oxygen species (ROS) production, and activation or disruption of mitochondrial quality control pathways such as mitophagy."
41848587,Proteomics in tissue regeneration: insights into protein alterations and post-translational modifications during healing.,1,72,"High-throughput proteomic technologies, including mass spectrometry, quantitative labeling approaches, and spatial/single-cell analyses, enable the identification of phase-specific protein signatures and PTMs such as phosphorylation, glycosylation, ubiquitination, acetylation, and redox modifications."
41873355,Dual Regulation of Post-Translational Modification of Proteins: Bottlenecks and Breakthroughs in NK Cell Therapy for Glioblastoma.,1,96,"This review summarizes seven key PTMs' (phosphorylation, acetylation, glycosylation, methylation, ubiquitination, SUMOylation, lactylation) dual regulation on NK cell therapy: physiological PTMs enhance NK cytotoxicity, targeting, and persistence; aberrant PTMs block NK activation, induce exhaustion, and promote GBM immune escape."
41846138,Microcystin-LR-induced phosphorylation imbalance and organelle stress: An integrative review of autophagy dysregulation and cross-species toxicity.,1,55,"The established molecular initiating event of MC-LR toxicity is the inhibition of serine/threonine protein phosphatases (PP1 and PP2), leading to widespread phosphorylation imbalance and cellular stress."
41846138,Microcystin-LR-induced phosphorylation imbalance and organelle stress: An integrative review of autophagy dysregulation and cross-species toxicity.,2,52,This review critically analyzes recent mechanistic findings and cross-species evidence to contextualize autophagy dysregulation within a broader framework of phosphorylation imbalance and organelle stress in MC-LR toxicity.
41854733,Therapeutic Potential of Somatostatin and Its Analogues in Alzheimer's Disease: From Molecular Mechanisms to Preclinical Studies.,1,56,"Somatostatin receptors (SSTR1-5) are widely expressed in cognition-related brain regions and participate in amyloid-β metabolism, tau phosphorylation, neuroinflammation, and synaptic plasticity."
41844234,A CDCA2-MYC positive feedback loop controls cancer cells survival.,1,25,"MYC is regulated at multiple levels, and its stability and activity are modulated by protein phosphorylation."
41869562,Loss of Ezh2 promotes M2-like macrophage polarization in hepatocellular carcinoma.,1,37,"Furthermore, phosphorylated STAT3 levels positively correlated with the M2 marker ArgI, and both were further increased in the absence of Ezh2."
41855256,A CHKA-PML autophagy checkpoint enables tumors to evade glutamine starvation.,1,37,"CHKA phosphorylates promyelocytic leukemia (PML) at tyrosine 339, promoting its cytoplasmic localization."
41849441,QCM-D Elucidation of Fibrinogen Adsorption States on Blood-Compatible Polymer Surfaces.,1,144,"To quantitatively evaluate differences in antithrombogenicity, poly(butyl methacrylate) (PBMA), poly(2-methoxyethyl acrylate) (PMEA), and poly(2-methacryloyloxyethyl phosphorylcholine-co-n-butyl methacrylate) (P(MPC-co-BMA)) were spin-coated on gold QCM-D (Quartz Crystal Microbalance with Dissipation) sensors, and the adsorption behaviors of fibrinogen (Fg) on these polymer surfaces was analyzed."
41887949,Induced proximity for dephosphorylation.,1,29,This strategy enables context-dependent reprogramming of pathological phosphorylation with improved mechanistic and pathway specificity.
41852131,Marine-Derived Chitosan Oligosaccharides and Their Derivatives: A New Hope for Alzheimer's Prevention and Treatment - A Critical Review.,1,69,"COS is of great significance in the prevention and treatment of AD; the main mechanisms of action include inhibiting acetylcholinesterase and beta-secretase activity, preventing abnormal phosphorylation of tau protein, chelating copper ions, protecting neuronal cells, and exhibiting antioxidant effects."
41867854,Exercise modulation of the alternative splicing landscape in human tissues.,1,56,"In skeletal muscle, where DAS events were the most abundant, DAS genes were enriched for muscle structure- and RNA splicing-related processes, and splicing machinery components were regulated at the protein phosphorylation, RNA, and AS levels."
41880487,Microtubules guide Aurora B substrate geometries for accurate chromosome segregation.,1,23,How microtubules simultaneously up- and down-regulate Aurora B phosphorylation remains unclear.
41880487,Microtubules guide Aurora B substrate geometries for accurate chromosome segregation.,2,70,"Devising a new cryo-electron microscopy workflow, we determined microtubule-bound structures of the CPC and key Aurora B substrates that resolve their phosphorylation sites, finding that microtubules can promote or restrict Aurora B-mediated phosphorylation depending upon binding geometry."
41880487,Microtubules guide Aurora B substrate geometries for accurate chromosome segregation.,3,48,"The kinetochore Ndc80 complex oligomerizes on microtubules through multivalent interactions including its kinase recognition sites, sterically restricting kinase access to counteract phosphorylation-induced detachment."
41880487,Microtubules guide Aurora B substrate geometries for accurate chromosome segregation.,4,67,"Conversely, Aurora B recognition sites of the microtubule-depolymerase mitotic centromere-associated kinesin (MCAK) remain accessible on microtubules, explaining how microtubule-bound CPC can promote MCAK phosphorylation and inactivation."
41880487,Microtubules guide Aurora B substrate geometries for accurate chromosome segregation.,5,46,"We propose that microtubule-guided substrate remodeling can serve as a general mechanism for controlling Aurora B-mediated phosphorylation during mitosis, which can coordinate diverse processes underlying faithful chromosome segregation."
41862769,Bazedoxifene reverses sexually dimorphic autistic-like abnormalities in biallelic MDGA1-mutant mice.,1,73,"Bazedoxifene (a selective estrogen receptor modulator) treatment of male Mdga1Y636C/E751Q KI mice rescues the changes in the expression and phosphorylation of a subset of GABAergic synaptic proteins, as well as behavioral performance and GABAergic synaptic strength."
41869290,NRF2 Deficiency Disrupts Mitochondrial Homeostasis via NDUFS7 in Trabecular Meshwork.,1,38,The results of the gene set enrichment analysis (GSEA) indicated enrichment of oxidative phosphorylation pathway in NRF2-deficient cells.
41857027,Structural basis of the cyclin Y/14-3-3 protein-mediated activation of CDK16.,1,46,"Unlike other CDKs, CDK16 is regulated by an unclear mechanism involving phosphorylated cyclin Y (CCNY) in complex with 14-3-3 proteins rather than CCNY alone."
41851502,The WNK-OXSR1 osmosensing pathway mediates intestinal regeneration via Hippo-YAP signaling.,1,61,"Mechanistically, OXSR1 phosphorylates the RhoB GTPase at threonine 37 upon intestinal injury, thereby disrupting its interaction with ARHGAP17 and increasing the levels of GTP-bound RhoB."
41844585,Evaluating the potential of acupuncture for Alzheimer's disease treatment: A meta-analysis and systematic review of mouse model studies.,1,61,"Our results reveal that EA significantly reduces both amyloid-beta (Aβ) and phosphorylated tau (p-tau) levels and neuroinflammatory biomarkers, including molecular signatures for activated microglia and astrocytes in the brain."
41869559,Panx1 deficiency exacerbates GAN diet-induced obesity by destabilizing β-catenin via GSK3β.,1,42,"Mechanistically, Panx1 deficiency leads to reduced non-phosphorylated β-catenin levels and its downstream targets, indicating impaired Wnt/β-catenin signaling."
41844616,Phosphoregulation of the novel hemi-arrestin MAPK scaffold Sms1 prevents untimely mating.,1,42,"Phosphorylation, including by the MAPK itself, antagonises Sms1 membrane translocation, establishing a negative feedback that underlies polarity patch turnover and prevents untimely mating attempts."
41863805,Autoinhibitory control of MLKL governs pseudokinase domain phosphorylation and oligomerization during necroptosis.,1,51,"Previous studies have identified key steps during necroptosis, which are believed to be coupled: MLKL phosphorylation by RIPK3, release of N-terminal autoinhibition, and MLKL oligomerization."
41863805,Autoinhibitory control of MLKL governs pseudokinase domain phosphorylation and oligomerization during necroptosis.,2,42,"Here, we employ five different pharmacological, biological, and genetic methods to demonstrate that inhibiting the MLKL N terminus prevents both phosphorylation and oligomerization."
41863805,Autoinhibitory control of MLKL governs pseudokinase domain phosphorylation and oligomerization during necroptosis.,3,44,"Conversely, loss of interaction between the N-terminal four-helical bundle and brace domains demonstrates basal MLKL phosphorylation, even in the absence of necroptotic stimuli."
41863805,Autoinhibitory control of MLKL governs pseudokinase domain phosphorylation and oligomerization during necroptosis.,4,28,"Moreover, we show that MLKL phosphorylation is not necessary for maintaining MLKL oligomer stability."
41863805,Autoinhibitory control of MLKL governs pseudokinase domain phosphorylation and oligomerization during necroptosis.,5,39,"We propose that MLKL is released from autoinhibition prior to phosphorylation, explaining why phosphomimetic MLKL lacks cytotoxic activity."
41843681,Mutually exclusive alternative pre-mRNA splicing promotes adaptive metabolic stress signaling by JNK.,1,54,The JNK1 and JNK2 pre-mRNAs expressed by hepatocytes exhibit mutually exclusive inclusion of exons 7a or 7b that encode a segment of the substrate binding site that is required for selective protein phosphorylation.
41843681,Mutually exclusive alternative pre-mRNA splicing promotes adaptive metabolic stress signaling by JNK.,2,44,This function of JNK27b is mediated by coordinated mechanisms that independently regulate circadian gene expression and phosphorylation of Retinoid X Receptor α (RXRα) on Ser265.
41846982,Intrinsically disordered SERBP1 regulates translation through topology-driven G-quadruplex recognition.,1,38,"Phosphomimetic mutations of key serines disrupt this stabilization and reduce binding affinity, identifying phosphorylation as a regulatory switch for SERBP1 activity."
41871415,Tau pathology in epilepsy: emerging mechanisms and translational opportunities.,1,54,"In this review, we examine the evidence for tau-related neurodegenerative processes in epilepsy beginning with how changes in biochemical and structural properties of the tau protein can lead to abnormal phosphorylation and pathological aggregation."
41865455,USP18 ameliorates atherosclerosis through inhibiting the activation of TAK1.,1,43,"Furthermore, USP18 silencing enhances the phosphorylation of key kinases and the upstream regulator TAK1 within the NF-κB signaling pathway in macrophages."
41865455,USP18 ameliorates atherosclerosis through inhibiting the activation of TAK1.,2,38,"USP18 inhibits TAK1 phosphorylation by binding to and deubiquitinating TAK1, thereby suppressing NF-κB pathway activation."
41858284,Collagen I-DDR1 signaling promotes inflammation development during keloid formation.,1,25,RESULTS: Both phosphorylated NFκB and STAT3 were obviously elevated in keloid tissues.
41858284,Collagen I-DDR1 signaling promotes inflammation development during keloid formation.,2,62,"Mechanistically, DDR1 interacted with ARF6, which promoted the transport of DDR1 to plasma membrane and amplified collagen I-induced DDR1 signaling, then facilitated DDR1 binding to STAT3, leading to STAT3 phosphorylation."
41849779,Identification and Validation of an Inhibitor of the Protein Kinases PIM and DYRK.,1,48,"Functionally, CSH-4044 suppressed PIM3-driven BAD phosphorylation in pancreatic cancer cells and reduced DYRK1A-mediated Tau phosphorylation in neuronal cells."
41874349,Modulation of Alveolar Macrophages by Sex as a Biological Variable.,1,21,"Conversely, male AMs showed little change in oxidative phosphorylation."
41876450,AKT1 phosphorylates PRMT7 to promote GLUD1 methylation and gastric cancer progression.,1,53,"Mechanistically, AKT1 phosphorylates PRMT7 at threonine 73 (T73) and promotes its activity to stabilize GLUD1 by increasing its methylation and reducing ubiquitination."
41858765,Inhibitory effects of spermidine on lipopolysaccharide-induced inflammation in RAW 264.7 cells.,1,50,"In addition, the levels of phosphorylated (p)-p65 and p-IκBα, which are NF-κB pathway-associated proteins, were markedly decreased after 24 h of SPD treatment."
41860659,Multi-omics and mendelian randomization uncover microbial-metabolite-gene interactions in age-related hearing loss.,1,50,"Through integrated multiomics analysis, we identified 38 ARHL core-associated candidate genes that are predominantly enriched in pathways such as NF-κB signaling, antigen presentation, and oxidative phosphorylation."
41860465,Nuclear Translocation of Mitochondrial Ferredoxin Reductase Is Regulated by AKT-Mediated Phosphorylation.,1,38,"Further, we found that AKT can phosphorylate threonine 277 adjacent to the NLS in FDXR and subsequently enhances its nuclear translocation."
41860465,Nuclear Translocation of Mitochondrial Ferredoxin Reductase Is Regulated by AKT-Mediated Phosphorylation.,2,43,"Together, our data provide evidence that the mitochondrial FDXR can be translocated to the nucleus, which is regulated by AKT-mediated phosphorylation, especially in response to cellular stress."
41855861,Curcumin attenuates hindlimb unloading-induced bone loss by suppressing NF-κB-mediated osteoclast activation.,1,51,"Mechanistically, curcumin inhibited the NF-κB signaling cascade, specifically through attenuated phosphorylation of p65 and IκBα, which restrained osteoclastogenesis."
41876647,LRRK2-targeting antisense oligonucleotide in Parkinson's disease: a phase 1 randomized controlled trial.,1,51,"Cerebrospinal fluid (CSF) LRRK2 and phosphorylated Rab10 levels were lowered by up to 59% and up to 50%, respectively, irrespective of LRRK2 variant status."
41867847,Activation of TPC2 amplifies lysosome-mitochondria calcium transfer to regulate energetic stress responses.,1,43,"Moderate TPC2 activation transiently enhances oxidative phosphorylation, whereas sustained enhancement increases susceptibility to Ca 2+ -induced mitochondrial permeability transition."
41847846,Sprouty2 modulates NF-κB signaling by sequestering the phosphatase PP2Ac in LPS-stimulated macrophages.,1,37,"Mechanistically, we show that upon LPS stimulation, Spry2 is serine phosphorylated and associated with the phosphatase PP2Ac."
41850723,Huntingtin (HTT) interactome in regulation of DNA repair/remodeling and RNA processing pathways.,1,34,"We found that S1181 phosphorylation of HTT is regulated by DSB, and can be carried out by DNA-PK."
