doc_id,sentence,entity_count,entities
41855862_1,"Its canonical function is to phosphorylate IκB proteins, thereby promoting the nuclear translocation and transcriptional activation of NF-κB.",2,IκB|Gene|43|46 ; NF-κB.|Gene|135|141
41855862_2,"This functional versatility is precisely governed by stimulus strength/duration, subcellular compartmentalization, scaffold protein usage, and differential substrate phosphorylation thresholds, which enable the same core kinase machinery to robustly control seemingly contradictory signaling outputs.",0,
41840068_1,"Full-length NuMA is autoinhibited for its interactions with dynein and microtubules, whereas mitotically phosphorylated NuMA activates dynein in vitro and interphase cells.",4,NuMA|Gene|12|16 ; dynein|Gene|60|66 ; NuMA|Gene|120|124 ; dynein|Gene|135|141
41846286_1,"In wood-feeding cockroaches, the downregulation of genes associated with oxidative phosphorylation and peroxisomes constrained the growth and development rates of their offspring, which aligns with the observed slow larval growth.",0,
41850541_1,"Mass spectrometry coupled with phosphosite prediction analysis identified four serine residues (S701, S712, S722, and S728) on ASAP2 as phosphorylation targets of putative phosphorylation sites mediated by TAOK3.",2,ASAP2|Gene|127|132 ; TAOK3|Gene|206|211
41850541_2,These phosphorylation events were further by co-immunoprecipitation and were essential for the pro-metastatic activity of the TAOK3-ASAP2 signaling axis.,2,TAOK3|Gene|126|131 ; ASAP2|Gene|132|137
41850541_3,"Collectively, these findings reveal a previously unrecognized TAOK3-dependent phosphorylation mechanism that drives ccRCC progression, and identify the TAOK3-ASAP2 axis as a promising therapeutic target for metastatic ccRCC.",5,TAOK3|Gene|62|67 ; ccRCC|Disease|116|121 ; TAOK3|Gene|152|157 ; ASAP2|Gene|158|163 ; ccRCC|Disease|218|223
41864544_1,"HADHA dysfunction disrupts energy balance by causing toxic metabolite buildup, impairing oxidative phosphorylation, and aberrant cardiolipin remodeling.",2,HADHA dysfunction|Disease|0|17 ; cardiolipin|Gene|129|140
41856254_1,"Neurofibrillary tangles, composed of excessively phosphorylated tau, are a core neuropathological hallmark of Alzheimer's disease (AD).",4,Neurofibrillary tangles|Disease|0|23 ; tau|Gene|64|67 ; Alzheimer's disease|Disease|110|129 ; AD|Disease|131|133
41856254_2,"However, therapeutic strategies aimed at directly clearing neurofibrillary tangles have demonstrated limited clinical efficacy, shifting the research focus towards the fundamental underlying mechanism- the dysregulation of tau phosphorylation.",2,neurofibrillary tangles|Disease|59|82 ; tau|Gene|223|226
41856254_3,"Evidence indicates that tau physiological phosphorylation is indispensable for microtubule stability and normal neuronal function, while its aberrant hyperphosphorylation drives neurodegeneration.",2,tau|Gene|24|27 ; neurodegeneration|Disease|178|195
41856254_4,"Consequently, restoring tau phosphorylation homeostasis, rather than merely eliminating the pathological protein, has emerged as a promising therapeutic paradigm.",1,tau|Gene|24|27
41856254_5,"This review systematically delineates the physiological functions and pathological mechanisms of tau phosphorylation, highlighting its central role in AD pathogenesis.",2,tau|Gene|97|100 ; AD|Disease|151|153
41856254_6,"We summarize recent advances in drug development targeting key kinases and phosphatases, and discuss the diagnostic value and application prospects of tau phosphorylation biomarkers.",1,tau|Gene|151|154
41869306_1,"To sustain inflammation and tissue damage, pathogenic immune and stromal cells undergo specific metabolic reprogramming that alters glycolysis, oxidative phosphorylation, and lipid metabolism.",2,inflammation|Disease|11|23 ; lipid|Chemical|175|180
41862111_1,"The biomaterial micropatterning-modulated elongated and aligned morphology promoted an anti-inflammatory transcriptome, reduced pro-inflammatory chemokine secretion, and induced the transcription coregulator yes-associated protein (YAP) phosphorylation, supporting the anti-immunogenic properties of endothelial cells.",4,inflammatory|Disease|92|104 ; inflammatory|Disease|132|144 ; yes-associated protein|Gene|208|230 ; YAP|Gene|232|235
41862111_2,The ability of micropatterned endothelial cells to maintain their anti-immunogenic functions under pro-inflammatory conditions was demonstrated by the increased phosphorylation of YAP and decrease in pro-inflammatory IL-8 release.,4,inflammatory|Disease|103|115 ; YAP|Gene|180|183 ; inflammatory|Disease|204|216 ; IL-8|Gene|217|221
41895230_1,Pseudokinases are enigmatic proteins that evolved such that they retained the evolutionarily conserved kinase-like fold but lost key residues required for substrate phosphorylation.,1,Pseudokinases|Gene|0|13
41895230_2,"SIGNIFICANCE STATEMENT: Pseudokinases are understudied proteins that lack the catalytic ability to mediate phosphorylation, yet, they perform extraordinary and physiologically essential signaling functions.",0,
41847111_1,"This was accompanied by increased AMP-activated protein kinase activity and phosphorylation of YAP1, implying tapered activity of the YAP1 oncoprotein.",3,AMP-activated protein kinase|Gene|34|62 ; YAP1|Gene|95|99 ; YAP1|Gene|134|138
41847664_1,"In vitro, 10h demonstrated potent anti-tumor activity and effectively inhibited niraparib-induced CHK1 phosphorylation in Granta-519.",4,tumor|Disease|39|44 ; niraparib|Chemical|80|89 ; CHK1|Gene|98|102 ; Granta-519|CellLine|122|132
41854818_1,"This complex functionality is finely modulated by post-translational modifications, particularly phosphorylation.",0,
41864233_1,"Using mass spectrometry techniques, plasma p-tau217 was measured as a ratio to a non-phosphorylated peptide (%p-tau217), and eMTBR-tau243 was measured as a concentration.",2,p|Gene|43|44 ; eMTBR|Gene|125|130
41865688_1,"YFSJ combined with gefitinib treatment inhibits EGFR and Erk1/2 phosphorylation, promoting YAP1 phosphorylation, inhibits AKT phosphorylation and downstream ANKRD1 expression, ultimately suppressing cell proliferation and promoting apoptosis.",7,YFSJ|Chemical|0|4 ; gefitinib|Chemical|19|28 ; EGFR|Gene|48|52 ; Erk1/2|Gene|57|63 ; YAP1|Gene|91|95 ; AKT|Gene|122|125 ; ANKRD1|Gene|157|163
41876639_1,"We further discuss crosstalk between glycosylation, ubiquitination, and phosphorylation, metabolic regulation of UDP-GlcNAc flux, and pathogen- or tumor-driven glycosylation reprogramming, highlighting glycosylation enzymes as potential immunomodulatory targets.",2,UDP-GlcNAc|Gene|113|123 ; tumor|Disease|147|152
41886288_1,We report an elemental sulfur/base/water system enabling the synthesis of 2-phosphorylbenzazoles via a Willgerodt-Kindler-type reaction of o-hydroxy/amino/mercaptoanilines with substituted phosphorylmethanes.,5,sulfur|Chemical|23|29 ; water|Chemical|35|40 ; 2-phosphorylbenzazoles|Chemical|74|96 ; o-hydroxy/amino/mercaptoanilines|Chemical|139|171 ; phosphorylmethanes|Chemical|189|207
41882025_1,"Post-translational modification analysis revealed combination-induced acetylation, methylation, and phosphorylation of key AML proteins, including NPM1.",2,AML|Gene|123|126 ; NPM1|Gene|147|151
41842946_1,"Mechanistically, IKKα phosphorylates HHEX at S213 to stabilize HHEX in response to TNF-α by inhibiting the interaction of HHEX with the E3 ubiquitin ligase MID2 and subsequent K48-linked ubiquitination and protein degradation.",7,IKKα|Gene|17|21 ; HHEX|Gene|37|41 ; HHEX|Gene|63|67 ; TNF-α|Gene|83|88 ; HHEX|Gene|122|126 ; E3 ubiquitin ligase|Gene|136|155 ; MID2|Gene|156|160
41868124_1,"As prodrugs, these derivatives require intracellular enzymatic phosphorylation to form active metabolites that inhibit nucleic acid synthesis, and their efficacy is dependent on intracellular enzyme levels and activity.",0,
41889763_1,"The roles of H-phosphoryl compounds [HP-(O)-R'R″] in various transformations remain insufficiently elucidated, particularly concerning their contributions to facilitating the conversion of inert chemical bonds.",2,H-phosphoryl compounds|Chemical|13|35 ; HP-(O)-R'R″|Chemical|37|48
41889763_2,"Notably, H-phosphoryl compounds, especially the commercially available, bench-stable, and inexpensive HP-(O)-Ph2 used in this study, were discovered for the first time to function as both a defluorinative surrogate and an H-reagent, displaying unconventional HDF reactivity with the assistance of water.",4,H-phosphoryl|Chemical|9|21 ; HP-(O)-Ph2|Chemical|102|112 ; H-reagent|Chemical|222|231 ; water|Chemical|297|302
41887981_1,"Loss of the mitochondrial NAD kinase, which phosphorylates NAD(H) to generate mitochondrial NADP(H), disrupts NADP(H)-dependent pathways that sustain oxidative metabolism and systemic energy balance.",4,NAD kinase|Gene|26|36 ; NAD(H)|Chemical|59|65 ; NADP(H)|Chemical|92|99 ; NADP(H)|Chemical|110|117
41858737_1,"While bulk tumor cells are often dependent on glycolysis, CSCs demonstrate metabolic plasticity can switch between glycolysis and OXPHOS (oxidative phosphorylation) depending on context.",1,tumor|Disease|11|16
41849049_1,"Classical models cast CaMKII as a Ca2+/calmodulin-activated kinase that, once phosphorylated, persists autonomously to encode synaptic memory.",2,CaMKII|Gene|22|28 ; Ca2+/calmodulin-activated kinase|Gene|34|66
41868506_1,Rice senses salinity using receptor-like kinases and Ca2+-dependent signaling pathway but the initial stages of the response and down-stream phosphorylation cascades have not been characterized well.,3,Rice|Species|0|4 ; receptor-like kinases|Gene|27|48 ; Ca2+|Chemical|53|57
41863615_1,"Concurrently, exercise improves metabolic adaptation and sustains antitumor effects via metabolic reprogramming, which involves enhancing mitochondrial oxidative phosphorylation and increasing lactate-mediated stemness.",1,lactate|Chemical|193|200
41861913_1,"While metabolic alterations and substrate utilization inflexibility have been well studied and are considered hallmarks of heart failure pathogenesis, the overwhelming majority of these investigations have focused on the health and function of the mitochondria in cardiac myocytes; for good reason given the mitochondria is the location of oxidative phosphorylation complexes that, although debated, can form respiratory super complexes to generate ATP in conjunction with the electron transport chain and TCA cycle.",3,heart failure|Disease|123|136 ; ATP|Chemical|449|452 ; TCA|Chemical|506|509
41845971_1,"However, in over 95% of ALS cases, TDP-43 mislocalises from the nucleus to the cytoplasm, where it enriches in cytoplasmic inclusions that are marked by the presence of misfolded, ubiquitinated, phosphorylated and fragmented protein species of TDP-43.",3,ALS|Disease|24|27 ; TDP-43|Gene|35|41 ; TDP-43|Gene|244|250
41868184_1,"Furthermore, anthraquinones inhibit pyroptosis, apoptosis, tau phosphorylation, Aβ/α-synuclein aggregation, and acetylcholinesterase activity, while restoring metal homeostasis, activating estrogen receptors, modulating gut microbiota, increasing BDNF levels, and preserving blood-brain barrier permeability.",8,anthraquinones|Chemical|13|27 ; tau|Gene|59|62 ; Aβ|Gene|80|82 ; α-synuclein|Gene|83|94 ; acetylcholinesterase|Gene|112|132 ; metal|Chemical|159|164 ; estrogen receptors|Gene|189|207 ; BDNF|Gene|247|251
41862620_1,"METHOD: Relevant literature on immune responses and metabolic regulation in nerve injury wasanalyzed to explore how shifts between glycolysis, oxidative phosphorylation, and fatty acidoxidation govern the balance between inflammatory and reparative states.",2,nerve injury|Disease|76|88 ; inflammatory|Disease|221|233
41848587_1,"High-throughput proteomic technologies, including mass spectrometry, quantitative labeling approaches, and spatial/single-cell analyses, enable the identification of phase-specific protein signatures and PTMs such as phosphorylation, glycosylation, ubiquitination, acetylation, and redox modifications.",0,
41868147_1,"This stress encompasses alterations in oxidative phosphorylation, mitochondrial dynamics, calcium handling, reactive oxygen species (ROS) production, and activation or disruption of mitochondrial quality control pathways such as mitophagy.",3,calcium|Chemical|90|97 ; reactive oxygen species|Chemical|108|131 ; ROS|Chemical|133|136
41873355_1,"This review summarizes seven key PTMs' (phosphorylation, acetylation, glycosylation, methylation, ubiquitination, SUMOylation, lactylation) dual regulation on NK cell therapy: physiological PTMs enhance NK cytotoxicity, targeting, and persistence; aberrant PTMs block NK activation, induce exhaustion, and promote GBM immune escape.",1,GBM|Disease|314|317
41846138_1,"The established molecular initiating event of MC-LR toxicity is the inhibition of serine/threonine protein phosphatases (PP1 and PP2), leading to widespread phosphorylation imbalance and cellular stress.",5,MC-LR|Chemical|46|51 ; toxicity|Disease|52|60 ; serine/threonine protein phosphatases|Gene|82|119 ; PP1|Gene|121|124 ; PP2|Gene|129|132
41846138_2,This review critically analyzes recent mechanistic findings and cross-species evidence to contextualize autophagy dysregulation within a broader framework of phosphorylation imbalance and organelle stress in MC-LR toxicity.,2,MC-LR|Chemical|208|213 ; toxicity|Disease|214|222
41854733_1,"Somatostatin receptors (SSTR1-5) are widely expressed in cognition-related brain regions and participate in amyloid-β metabolism, tau phosphorylation, neuroinflammation, and synaptic plasticity.",5,Somatostatin receptors|Gene|0|22 ; SSTR1-5|Gene|24|31 ; amyloid-β|Gene|108|117 ; tau|Gene|130|133 ; neuroinflammation|Disease|151|168
41844234_1,"MYC is regulated at multiple levels, and its stability and activity are modulated by protein phosphorylation.",1,MYC|Gene|0|3
41869562_1,"Furthermore, phosphorylated STAT3 levels positively correlated with the M2 marker ArgI, and both were further increased in the absence of Ezh2.",3,STAT3|Gene|28|33 ; ArgI|Gene|82|86 ; Ezh2|Gene|138|142
41849441_1,"To quantitatively evaluate differences in antithrombogenicity, poly(butyl methacrylate) (PBMA), poly(2-methoxyethyl acrylate) (PMEA), and poly(2-methacryloyloxyethyl phosphorylcholine-co-n-butyl methacrylate) (P(MPC-co-BMA)) were spin-coated on gold QCM-D (Quartz Crystal Microbalance with Dissipation) sensors, and the adsorption behaviors of fibrinogen (Fg) on these polymer surfaces was analyzed.",10,poly(butyl methacrylate)|Chemical|63|87 ; PBMA|Chemical|89|93 ; poly(2-methoxyethyl acrylate)|Chemical|96|125 ; PMEA|Chemical|127|131 ; poly(2-methacryloyloxyethyl phosphorylcholine-co-n-butyl methacrylate)|Chemical|138|208 ; P(MPC-co-BMA)|Chemical|210|223 ; gold|Chemical|245|249 ; fibrinogen|Gene|344|354 ; Fg|Gene|356|358 ; polymer|Chemical|369|376
41844803_1,"Phosphoproteomics revealed reduced phosphorylation of MRCKA and SLK substrates, suggesting crosstalk between D/L-2HG modification and kinase activity.",3,MRCKA|Gene|54|59 ; SLK|Gene|64|67 ; D/L-2HG|Chemical|109|116
41855256_1,"CHKA phosphorylates promyelocytic leukemia (PML) at tyrosine 339, promoting its cytoplasmic localization.",3,CHKA|Gene|0|4 ; promyelocytic leukemia (|Gene|20|44 ; PML)|Gene|44|48
41887949_1,This strategy enables context-dependent reprogramming of pathological phosphorylation with improved mechanistic and pathway specificity.,0,
41852131_1,"COS is of great significance in the prevention and treatment of AD; the main mechanisms of action include inhibiting acetylcholinesterase and beta-secretase activity, preventing abnormal phosphorylation of tau protein, chelating copper ions, protecting neuronal cells, and exhibiting antioxidant effects.",6,COS|Chemical|0|3 ; AD|Disease|64|66 ; acetylcholinesterase|Gene|117|137 ; beta-secretase|Gene|142|156 ; tau|Gene|206|209 ; copper|Chemical|229|235
41867854_1,"In skeletal muscle, where DAS events were the most abundant, DAS genes were enriched for muscle structure- and RNA splicing-related processes, and splicing machinery components were regulated at the protein phosphorylation, RNA, and AS levels.",1,DAS|Disease|61|64
41869290_1,The results of the gene set enrichment analysis (GSEA) indicated enrichment of oxidative phosphorylation pathway in NRF2-deficient cells.,1,NRF2|Gene|116|120
41857027_1,"Unlike other CDKs, CDK16 is regulated by an unclear mechanism involving phosphorylated cyclin Y (CCNY) in complex with 14-3-3 proteins rather than CCNY alone.",6,CDKs|Gene|13|17 ; CDK16|Gene|19|24 ; cyclin Y|Gene|87|95 ; CCNY|Gene|97|101 ; 14-3-3|Gene|119|125 ; CCNY|Gene|147|151
41851502_1,"Mechanistically, OXSR1 phosphorylates the RhoB GTPase at threonine 37 upon intestinal injury, thereby disrupting its interaction with ARHGAP17 and increasing the levels of GTP-bound RhoB.",6,OXSR1|Gene|17|22 ; RhoB GTPase|Gene|42|53 ; intestinal injury|Disease|75|92 ; ARHGAP17|Gene|134|142 ; GTP|Chemical|172|175 ; RhoB.|Gene|182|187
41880487_1,How microtubules simultaneously up- and down-regulate Aurora B phosphorylation remains unclear.,1,Aurora B|Gene|54|62
41880487_2,"Devising a new cryo-electron microscopy workflow, we determined microtubule-bound structures of the CPC and key Aurora B substrates that resolve their phosphorylation sites, finding that microtubules can promote or restrict Aurora B-mediated phosphorylation depending upon binding geometry.",3,CPC|Gene|100|103 ; Aurora B|Gene|112|120 ; Aurora B|Gene|224|232
41880487_3,"The kinetochore Ndc80 complex oligomerizes on microtubules through multivalent interactions including its kinase recognition sites, sterically restricting kinase access to counteract phosphorylation-induced detachment.",2,Ndc80|Gene|16|21 ; kinase|Gene|155|161
41880487_4,"Conversely, Aurora B recognition sites of the microtubule-depolymerase mitotic centromere-associated kinesin (MCAK) remain accessible on microtubules, explaining how microtubule-bound CPC can promote MCAK phosphorylation and inactivation.",5,Aurora B|Gene|12|20 ; mitotic centromere-associated kinesin|Gene|71|108 ; MCAK|Gene|110|114 ; CPC|Gene|184|187 ; MCAK|Gene|200|204
41880487_5,"We propose that microtubule-guided substrate remodeling can serve as a general mechanism for controlling Aurora B-mediated phosphorylation during mitosis, which can coordinate diverse processes underlying faithful chromosome segregation.",1,Aurora B|Gene|105|113
41862769_1,"Bazedoxifene (a selective estrogen receptor modulator) treatment of male Mdga1Y636C/E751Q KI mice rescues the changes in the expression and phosphorylation of a subset of GABAergic synaptic proteins, as well as behavioral performance and GABAergic synaptic strength.",4,Bazedoxifene|Chemical|0|12 ; estrogen receptor|Gene|26|43 ; Mdga1Y636C/E751Q|Gene|73|89 ; mice|Species|93|97
41844585_1,"Our results reveal that EA significantly reduces both amyloid-beta (Aβ) and phosphorylated tau (p-tau) levels and neuroinflammatory biomarkers, including molecular signatures for activated microglia and astrocytes in the brain.",6,EA|Chemical|24|26 ; amyloid-beta|Gene|54|66 ; Aβ|Gene|68|70 ; tau|Gene|91|94 ; tau|Gene|98|101 ; neuroinflammatory|Disease|114|131
41869559_1,"Mechanistically, Panx1 deficiency leads to reduced non-phosphorylated β-catenin levels and its downstream targets, indicating impaired Wnt/β-catenin signaling.",4,Panx1|Gene|17|22 ; β-catenin|Gene|70|79 ; Wnt|Gene|135|138 ; β-catenin|Gene|139|148
41844616_1,"Phosphorylation, including by the MAPK itself, antagonises Sms1 membrane translocation, establishing a negative feedback that underlies polarity patch turnover and prevents untimely mating attempts.",2,MAPK|Gene|34|38 ; Sms1|Gene|59|63
41863805_1,"Previous studies have identified key steps during necroptosis, which are believed to be coupled: MLKL phosphorylation by RIPK3, release of N-terminal autoinhibition, and MLKL oligomerization.",3,MLKL|Gene|97|101 ; RIPK3|Gene|121|126 ; MLKL|Gene|170|174
41863805_2,"Here, we employ five different pharmacological, biological, and genetic methods to demonstrate that inhibiting the MLKL N terminus prevents both phosphorylation and oligomerization.",1,MLKL|Gene|115|119
41863805_3,"Conversely, loss of interaction between the N-terminal four-helical bundle and brace domains demonstrates basal MLKL phosphorylation, even in the absence of necroptotic stimuli.",1,MLKL|Gene|112|116
41863805_4,"Moreover, we show that MLKL phosphorylation is not necessary for maintaining MLKL oligomer stability.",2,MLKL|Gene|23|27 ; MLKL|Gene|77|81
41863805_5,"We propose that MLKL is released from autoinhibition prior to phosphorylation, explaining why phosphomimetic MLKL lacks cytotoxic activity.",3,MLKL|Gene|16|20 ; MLKL|Gene|109|113 ; cytotoxic|Disease|120|129
41843681_1,The JNK1 and JNK2 pre-mRNAs expressed by hepatocytes exhibit mutually exclusive inclusion of exons 7a or 7b that encode a segment of the substrate binding site that is required for selective protein phosphorylation.,2,JNK1|Gene|4|8 ; JNK2|Gene|13|17
41843681_2,This function of JNK27b is mediated by coordinated mechanisms that independently regulate circadian gene expression and phosphorylation of Retinoid X Receptor α (RXRα) on Ser265.,3,JNK27b|Gene|17|23 ; Retinoid X Receptor α|Gene|139|160 ; RXRα|Gene|162|166
41846982_1,"Phosphomimetic mutations of key serines disrupt this stabilization and reduce binding affinity, identifying phosphorylation as a regulatory switch for SERBP1 activity.",1,SERBP1|Gene|151|157
41871415_1,"In this review, we examine the evidence for tau-related neurodegenerative processes in epilepsy beginning with how changes in biochemical and structural properties of the tau protein can lead to abnormal phosphorylation and pathological aggregation.",3,tau|Gene|44|47 ; epilepsy|Disease|87|95 ; tau|Gene|171|174
41865455_1,"Furthermore, USP18 silencing enhances the phosphorylation of key kinases and the upstream regulator TAK1 within the NF-κB signaling pathway in macrophages.",3,USP18|Gene|13|18 ; TAK1|Gene|100|104 ; NF-κB|Gene|116|121
41865455_2,"USP18 inhibits TAK1 phosphorylation by binding to and deubiquitinating TAK1, thereby suppressing NF-κB pathway activation.",4,USP18|Gene|0|5 ; TAK1|Gene|15|19 ; TAK1|Gene|71|75 ; NF-κB|Gene|97|102
41858284_1,RESULTS: Both phosphorylated NFκB and STAT3 were obviously elevated in keloid tissues.,3,NFκB|Gene|29|33 ; STAT3|Gene|38|43 ; keloid|Disease|71|77
41858284_2,"Mechanistically, DDR1 interacted with ARF6, which promoted the transport of DDR1 to plasma membrane and amplified collagen I-induced DDR1 signaling, then facilitated DDR1 binding to STAT3, leading to STAT3 phosphorylation.",8,DDR1|Gene|17|21 ; ARF6|Gene|38|42 ; DDR1|Gene|76|80 ; collagen I|Gene|114|124 ; DDR1|Gene|133|137 ; DDR1|Gene|166|170 ; STAT3|Gene|182|187 ; STAT3|Gene|200|205
41849779_1,"Functionally, CSH-4044 suppressed PIM3-driven BAD phosphorylation in pancreatic cancer cells and reduced DYRK1A-mediated Tau phosphorylation in neuronal cells.",6,CSH-4044|Chemical|14|22 ; PIM3|Gene|34|38 ; BAD|Gene|46|49 ; pancreatic cancer|Disease|69|86 ; DYRK1A|Gene|105|111 ; Tau|Gene|121|124
41874349_1,"Conversely, male AMs showed little change in oxidative phosphorylation.",0,
41876450_1,"Mechanistically, AKT1 phosphorylates PRMT7 at threonine 73 (T73) and promotes its activity to stabilize GLUD1 by increasing its methylation and reducing ubiquitination.",4,AKT1|Gene|17|21 ; PRMT7|Gene|37|42 ; 73|Variant|56|58 ; GLUD1|Gene|104|109
41858765_1,"In addition, the levels of phosphorylated (p)-p65 and p-IκBα, which are NF-κB pathway-associated proteins, were markedly decreased after 24 h of SPD treatment.",4,p65|Gene|46|49 ; IκBα|Gene|56|60 ; NF-κB|Gene|72|77 ; SPD|Chemical|145|148
41860659_1,"Through integrated multiomics analysis, we identified 38 ARHL core-associated candidate genes that are predominantly enriched in pathways such as NF-κB signaling, antigen presentation, and oxidative phosphorylation.",2,ARHL|Gene|57|61 ; NF-κB|Gene|146|151
41860465_1,"Further, we found that AKT can phosphorylate threonine 277 adjacent to the NLS in FDXR and subsequently enhances its nuclear translocation.",2,AKT|Gene|23|26 ; FDXR|Gene|82|86
41860465_2,"Together, our data provide evidence that the mitochondrial FDXR can be translocated to the nucleus, which is regulated by AKT-mediated phosphorylation, especially in response to cellular stress.",2,FDXR|Gene|59|63 ; AKT|Gene|122|125
41855861_1,"Mechanistically, curcumin inhibited the NF-κB signaling cascade, specifically through attenuated phosphorylation of p65 and IκBα, which restrained osteoclastogenesis.",4,curcumin|Chemical|17|25 ; NF-κB|Gene|40|45 ; p65|Gene|116|119 ; IκBα|Gene|124|128
