doc_id,sentence,start,end,mention,entity_type
41852029_3,We also show that the FERM-CTD reassociation after ezrin T567 phosphorylation is impeded due to reduced dissociation energy barrier.,51,56,ezrin,Gene
41852029_3,We also show that the FERM-CTD reassociation after ezrin T567 phosphorylation is impeded due to reduced dissociation energy barrier.,57,61,T567,Variant
41852165_1,"Mitochondrial respiration was assessed using the Seahorse XFp analyser, mitochondrial DNA (mtDNA) copy number and oxidative phosphorylation (OXPHOS) complex protein expression were measured by qPCR and western blotting.",114,156,oxidative phosphorylation (OXPHOS) complex,Gene
41861599_1,Multi-omics analysis revealed that Trem1 deletion suppressed oxidative phosphorylation (OXPHOS) and induced a metabolic shift in neutrophils toward glycolysis.,35,40,Trem1,Gene
41864848_1,"This mitotic arrest-dependent telomere deprotection promotes mitotic death, requires Aurora B kinase-dependent shelterin phosphorylation and the BTR complex, and is opposed by WRN.",85,100,Aurora B kinase,Gene
41864848_1,"This mitotic arrest-dependent telomere deprotection promotes mitotic death, requires Aurora B kinase-dependent shelterin phosphorylation and the BTR complex, and is opposed by WRN.",111,120,shelterin,Gene
41864848_1,"This mitotic arrest-dependent telomere deprotection promotes mitotic death, requires Aurora B kinase-dependent shelterin phosphorylation and the BTR complex, and is opposed by WRN.",145,148,BTR,Gene
41864848_1,"This mitotic arrest-dependent telomere deprotection promotes mitotic death, requires Aurora B kinase-dependent shelterin phosphorylation and the BTR complex, and is opposed by WRN.",176,179,WRN,Gene
41855862_1,"Its canonical function is to phosphorylate IκB proteins, thereby promoting the nuclear translocation and transcriptional activation of NF-κB.",43,46,IκB,Gene
41855862_1,"Its canonical function is to phosphorylate IκB proteins, thereby promoting the nuclear translocation and transcriptional activation of NF-κB.",135,141,NF-κB.,Gene
41840068_1,"Full-length NuMA is autoinhibited for its interactions with dynein and microtubules, whereas mitotically phosphorylated NuMA activates dynein in vitro and interphase cells.",12,16,NuMA,Gene
41840068_1,"Full-length NuMA is autoinhibited for its interactions with dynein and microtubules, whereas mitotically phosphorylated NuMA activates dynein in vitro and interphase cells.",60,66,dynein,Gene
41840068_1,"Full-length NuMA is autoinhibited for its interactions with dynein and microtubules, whereas mitotically phosphorylated NuMA activates dynein in vitro and interphase cells.",120,124,NuMA,Gene
41840068_1,"Full-length NuMA is autoinhibited for its interactions with dynein and microtubules, whereas mitotically phosphorylated NuMA activates dynein in vitro and interphase cells.",135,141,dynein,Gene
41850541_1,"Mass spectrometry coupled with phosphosite prediction analysis identified four serine residues (S701, S712, S722, and S728) on ASAP2 as phosphorylation targets of putative phosphorylation sites mediated by TAOK3.",127,132,ASAP2,Gene
41850541_1,"Mass spectrometry coupled with phosphosite prediction analysis identified four serine residues (S701, S712, S722, and S728) on ASAP2 as phosphorylation targets of putative phosphorylation sites mediated by TAOK3.",206,211,TAOK3,Gene
41850541_2,These phosphorylation events were further by co-immunoprecipitation and were essential for the pro-metastatic activity of the TAOK3-ASAP2 signaling axis.,126,131,TAOK3,Gene
41850541_2,These phosphorylation events were further by co-immunoprecipitation and were essential for the pro-metastatic activity of the TAOK3-ASAP2 signaling axis.,132,137,ASAP2,Gene
41850541_3,"Collectively, these findings reveal a previously unrecognized TAOK3-dependent phosphorylation mechanism that drives ccRCC progression, and identify the TAOK3-ASAP2 axis as a promising therapeutic target for metastatic ccRCC.",62,67,TAOK3,Gene
41850541_3,"Collectively, these findings reveal a previously unrecognized TAOK3-dependent phosphorylation mechanism that drives ccRCC progression, and identify the TAOK3-ASAP2 axis as a promising therapeutic target for metastatic ccRCC.",116,121,ccRCC,Disease
41850541_3,"Collectively, these findings reveal a previously unrecognized TAOK3-dependent phosphorylation mechanism that drives ccRCC progression, and identify the TAOK3-ASAP2 axis as a promising therapeutic target for metastatic ccRCC.",152,157,TAOK3,Gene
41850541_3,"Collectively, these findings reveal a previously unrecognized TAOK3-dependent phosphorylation mechanism that drives ccRCC progression, and identify the TAOK3-ASAP2 axis as a promising therapeutic target for metastatic ccRCC.",158,163,ASAP2,Gene
41850541_3,"Collectively, these findings reveal a previously unrecognized TAOK3-dependent phosphorylation mechanism that drives ccRCC progression, and identify the TAOK3-ASAP2 axis as a promising therapeutic target for metastatic ccRCC.",218,223,ccRCC,Disease
41864544_1,"HADHA dysfunction disrupts energy balance by causing toxic metabolite buildup, impairing oxidative phosphorylation, and aberrant cardiolipin remodeling.",0,17,HADHA dysfunction,Disease
41864544_1,"HADHA dysfunction disrupts energy balance by causing toxic metabolite buildup, impairing oxidative phosphorylation, and aberrant cardiolipin remodeling.",129,140,cardiolipin,Gene
41856254_1,"Neurofibrillary tangles, composed of excessively phosphorylated tau, are a core neuropathological hallmark of Alzheimer's disease (AD).",0,23,Neurofibrillary tangles,Disease
41856254_1,"Neurofibrillary tangles, composed of excessively phosphorylated tau, are a core neuropathological hallmark of Alzheimer's disease (AD).",64,67,tau,Gene
41856254_1,"Neurofibrillary tangles, composed of excessively phosphorylated tau, are a core neuropathological hallmark of Alzheimer's disease (AD).",110,129,Alzheimer's disease,Disease
41856254_1,"Neurofibrillary tangles, composed of excessively phosphorylated tau, are a core neuropathological hallmark of Alzheimer's disease (AD).",131,133,AD,Disease
41856254_2,"However, therapeutic strategies aimed at directly clearing neurofibrillary tangles have demonstrated limited clinical efficacy, shifting the research focus towards the fundamental underlying mechanism- the dysregulation of tau phosphorylation.",59,82,neurofibrillary tangles,Disease
41856254_2,"However, therapeutic strategies aimed at directly clearing neurofibrillary tangles have demonstrated limited clinical efficacy, shifting the research focus towards the fundamental underlying mechanism- the dysregulation of tau phosphorylation.",223,226,tau,Gene
41856254_3,"Evidence indicates that tau physiological phosphorylation is indispensable for microtubule stability and normal neuronal function, while its aberrant hyperphosphorylation drives neurodegeneration.",24,27,tau,Gene
41856254_3,"Evidence indicates that tau physiological phosphorylation is indispensable for microtubule stability and normal neuronal function, while its aberrant hyperphosphorylation drives neurodegeneration.",178,195,neurodegeneration,Disease
41856254_4,"Consequently, restoring tau phosphorylation homeostasis, rather than merely eliminating the pathological protein, has emerged as a promising therapeutic paradigm.",24,27,tau,Gene
41856254_5,"This review systematically delineates the physiological functions and pathological mechanisms of tau phosphorylation, highlighting its central role in AD pathogenesis.",97,100,tau,Gene
41856254_5,"This review systematically delineates the physiological functions and pathological mechanisms of tau phosphorylation, highlighting its central role in AD pathogenesis.",151,153,AD,Disease
41856254_6,"We summarize recent advances in drug development targeting key kinases and phosphatases, and discuss the diagnostic value and application prospects of tau phosphorylation biomarkers.",151,154,tau,Gene
41869306_1,"To sustain inflammation and tissue damage, pathogenic immune and stromal cells undergo specific metabolic reprogramming that alters glycolysis, oxidative phosphorylation, and lipid metabolism.",11,23,inflammation,Disease
41869306_1,"To sustain inflammation and tissue damage, pathogenic immune and stromal cells undergo specific metabolic reprogramming that alters glycolysis, oxidative phosphorylation, and lipid metabolism.",175,180,lipid,Chemical
41862111_1,"The biomaterial micropatterning-modulated elongated and aligned morphology promoted an anti-inflammatory transcriptome, reduced pro-inflammatory chemokine secretion, and induced the transcription coregulator yes-associated protein (YAP) phosphorylation, supporting the anti-immunogenic properties of endothelial cells.",92,104,inflammatory,Disease
41862111_1,"The biomaterial micropatterning-modulated elongated and aligned morphology promoted an anti-inflammatory transcriptome, reduced pro-inflammatory chemokine secretion, and induced the transcription coregulator yes-associated protein (YAP) phosphorylation, supporting the anti-immunogenic properties of endothelial cells.",132,144,inflammatory,Disease
41862111_1,"The biomaterial micropatterning-modulated elongated and aligned morphology promoted an anti-inflammatory transcriptome, reduced pro-inflammatory chemokine secretion, and induced the transcription coregulator yes-associated protein (YAP) phosphorylation, supporting the anti-immunogenic properties of endothelial cells.",208,230,yes-associated protein,Gene
41862111_1,"The biomaterial micropatterning-modulated elongated and aligned morphology promoted an anti-inflammatory transcriptome, reduced pro-inflammatory chemokine secretion, and induced the transcription coregulator yes-associated protein (YAP) phosphorylation, supporting the anti-immunogenic properties of endothelial cells.",232,235,YAP,Gene
41862111_2,The ability of micropatterned endothelial cells to maintain their anti-immunogenic functions under pro-inflammatory conditions was demonstrated by the increased phosphorylation of YAP and decrease in pro-inflammatory IL-8 release.,103,115,inflammatory,Disease
41862111_2,The ability of micropatterned endothelial cells to maintain their anti-immunogenic functions under pro-inflammatory conditions was demonstrated by the increased phosphorylation of YAP and decrease in pro-inflammatory IL-8 release.,180,183,YAP,Gene
41862111_2,The ability of micropatterned endothelial cells to maintain their anti-immunogenic functions under pro-inflammatory conditions was demonstrated by the increased phosphorylation of YAP and decrease in pro-inflammatory IL-8 release.,204,216,inflammatory,Disease
41862111_2,The ability of micropatterned endothelial cells to maintain their anti-immunogenic functions under pro-inflammatory conditions was demonstrated by the increased phosphorylation of YAP and decrease in pro-inflammatory IL-8 release.,217,221,IL-8,Gene
41895230_1,Pseudokinases are enigmatic proteins that evolved such that they retained the evolutionarily conserved kinase-like fold but lost key residues required for substrate phosphorylation.,0,13,Pseudokinases,Gene
41847111_1,"This was accompanied by increased AMP-activated protein kinase activity and phosphorylation of YAP1, implying tapered activity of the YAP1 oncoprotein.",34,62,AMP-activated protein kinase,Gene
41847111_1,"This was accompanied by increased AMP-activated protein kinase activity and phosphorylation of YAP1, implying tapered activity of the YAP1 oncoprotein.",95,99,YAP1,Gene
41847111_1,"This was accompanied by increased AMP-activated protein kinase activity and phosphorylation of YAP1, implying tapered activity of the YAP1 oncoprotein.",134,138,YAP1,Gene
41847664_1,"In vitro, 10h demonstrated potent anti-tumor activity and effectively inhibited niraparib-induced CHK1 phosphorylation in Granta-519.",39,44,tumor,Disease
41847664_1,"In vitro, 10h demonstrated potent anti-tumor activity and effectively inhibited niraparib-induced CHK1 phosphorylation in Granta-519.",80,89,niraparib,Chemical
41847664_1,"In vitro, 10h demonstrated potent anti-tumor activity and effectively inhibited niraparib-induced CHK1 phosphorylation in Granta-519.",98,102,CHK1,Gene
41847664_1,"In vitro, 10h demonstrated potent anti-tumor activity and effectively inhibited niraparib-induced CHK1 phosphorylation in Granta-519.",122,132,Granta-519,CellLine
41864233_1,"Using mass spectrometry techniques, plasma p-tau217 was measured as a ratio to a non-phosphorylated peptide (%p-tau217), and eMTBR-tau243 was measured as a concentration.",43,44,p,Gene
41864233_1,"Using mass spectrometry techniques, plasma p-tau217 was measured as a ratio to a non-phosphorylated peptide (%p-tau217), and eMTBR-tau243 was measured as a concentration.",125,130,eMTBR,Gene
41865688_1,"YFSJ combined with gefitinib treatment inhibits EGFR and Erk1/2 phosphorylation, promoting YAP1 phosphorylation, inhibits AKT phosphorylation and downstream ANKRD1 expression, ultimately suppressing cell proliferation and promoting apoptosis.",0,4,YFSJ,Chemical
41865688_1,"YFSJ combined with gefitinib treatment inhibits EGFR and Erk1/2 phosphorylation, promoting YAP1 phosphorylation, inhibits AKT phosphorylation and downstream ANKRD1 expression, ultimately suppressing cell proliferation and promoting apoptosis.",19,28,gefitinib,Chemical
41865688_1,"YFSJ combined with gefitinib treatment inhibits EGFR and Erk1/2 phosphorylation, promoting YAP1 phosphorylation, inhibits AKT phosphorylation and downstream ANKRD1 expression, ultimately suppressing cell proliferation and promoting apoptosis.",48,52,EGFR,Gene
41865688_1,"YFSJ combined with gefitinib treatment inhibits EGFR and Erk1/2 phosphorylation, promoting YAP1 phosphorylation, inhibits AKT phosphorylation and downstream ANKRD1 expression, ultimately suppressing cell proliferation and promoting apoptosis.",57,63,Erk1/2,Gene
41865688_1,"YFSJ combined with gefitinib treatment inhibits EGFR and Erk1/2 phosphorylation, promoting YAP1 phosphorylation, inhibits AKT phosphorylation and downstream ANKRD1 expression, ultimately suppressing cell proliferation and promoting apoptosis.",91,95,YAP1,Gene
41865688_1,"YFSJ combined with gefitinib treatment inhibits EGFR and Erk1/2 phosphorylation, promoting YAP1 phosphorylation, inhibits AKT phosphorylation and downstream ANKRD1 expression, ultimately suppressing cell proliferation and promoting apoptosis.",122,125,AKT,Gene
41865688_1,"YFSJ combined with gefitinib treatment inhibits EGFR and Erk1/2 phosphorylation, promoting YAP1 phosphorylation, inhibits AKT phosphorylation and downstream ANKRD1 expression, ultimately suppressing cell proliferation and promoting apoptosis.",157,163,ANKRD1,Gene
41876639_1,"We further discuss crosstalk between glycosylation, ubiquitination, and phosphorylation, metabolic regulation of UDP-GlcNAc flux, and pathogen- or tumor-driven glycosylation reprogramming, highlighting glycosylation enzymes as potential immunomodulatory targets.",113,123,UDP-GlcNAc,Gene
41876639_1,"We further discuss crosstalk between glycosylation, ubiquitination, and phosphorylation, metabolic regulation of UDP-GlcNAc flux, and pathogen- or tumor-driven glycosylation reprogramming, highlighting glycosylation enzymes as potential immunomodulatory targets.",147,152,tumor,Disease
41886288_1,We report an elemental sulfur/base/water system enabling the synthesis of 2-phosphorylbenzazoles via a Willgerodt-Kindler-type reaction of o-hydroxy/amino/mercaptoanilines with substituted phosphorylmethanes.,23,29,sulfur,Chemical
41886288_1,We report an elemental sulfur/base/water system enabling the synthesis of 2-phosphorylbenzazoles via a Willgerodt-Kindler-type reaction of o-hydroxy/amino/mercaptoanilines with substituted phosphorylmethanes.,35,40,water,Chemical
41886288_1,We report an elemental sulfur/base/water system enabling the synthesis of 2-phosphorylbenzazoles via a Willgerodt-Kindler-type reaction of o-hydroxy/amino/mercaptoanilines with substituted phosphorylmethanes.,74,96,2-phosphorylbenzazoles,Chemical
41886288_1,We report an elemental sulfur/base/water system enabling the synthesis of 2-phosphorylbenzazoles via a Willgerodt-Kindler-type reaction of o-hydroxy/amino/mercaptoanilines with substituted phosphorylmethanes.,139,171,o-hydroxy/amino/mercaptoanilines,Chemical
41886288_1,We report an elemental sulfur/base/water system enabling the synthesis of 2-phosphorylbenzazoles via a Willgerodt-Kindler-type reaction of o-hydroxy/amino/mercaptoanilines with substituted phosphorylmethanes.,189,207,phosphorylmethanes,Chemical
41882025_1,"Post-translational modification analysis revealed combination-induced acetylation, methylation, and phosphorylation of key AML proteins, including NPM1.",123,126,AML,Gene
41882025_1,"Post-translational modification analysis revealed combination-induced acetylation, methylation, and phosphorylation of key AML proteins, including NPM1.",147,151,NPM1,Gene
41842946_1,"Mechanistically, IKKα phosphorylates HHEX at S213 to stabilize HHEX in response to TNF-α by inhibiting the interaction of HHEX with the E3 ubiquitin ligase MID2 and subsequent K48-linked ubiquitination and protein degradation.",17,21,IKKα,Gene
41842946_1,"Mechanistically, IKKα phosphorylates HHEX at S213 to stabilize HHEX in response to TNF-α by inhibiting the interaction of HHEX with the E3 ubiquitin ligase MID2 and subsequent K48-linked ubiquitination and protein degradation.",37,41,HHEX,Gene
41842946_1,"Mechanistically, IKKα phosphorylates HHEX at S213 to stabilize HHEX in response to TNF-α by inhibiting the interaction of HHEX with the E3 ubiquitin ligase MID2 and subsequent K48-linked ubiquitination and protein degradation.",63,67,HHEX,Gene
41842946_1,"Mechanistically, IKKα phosphorylates HHEX at S213 to stabilize HHEX in response to TNF-α by inhibiting the interaction of HHEX with the E3 ubiquitin ligase MID2 and subsequent K48-linked ubiquitination and protein degradation.",83,88,TNF-α,Gene
41842946_1,"Mechanistically, IKKα phosphorylates HHEX at S213 to stabilize HHEX in response to TNF-α by inhibiting the interaction of HHEX with the E3 ubiquitin ligase MID2 and subsequent K48-linked ubiquitination and protein degradation.",122,126,HHEX,Gene
41842946_1,"Mechanistically, IKKα phosphorylates HHEX at S213 to stabilize HHEX in response to TNF-α by inhibiting the interaction of HHEX with the E3 ubiquitin ligase MID2 and subsequent K48-linked ubiquitination and protein degradation.",136,155,E3 ubiquitin ligase,Gene
41842946_1,"Mechanistically, IKKα phosphorylates HHEX at S213 to stabilize HHEX in response to TNF-α by inhibiting the interaction of HHEX with the E3 ubiquitin ligase MID2 and subsequent K48-linked ubiquitination and protein degradation.",156,160,MID2,Gene
41889763_1,"The roles of H-phosphoryl compounds [HP-(O)-R'R″] in various transformations remain insufficiently elucidated, particularly concerning their contributions to facilitating the conversion of inert chemical bonds.",13,35,H-phosphoryl compounds,Chemical
41889763_1,"The roles of H-phosphoryl compounds [HP-(O)-R'R″] in various transformations remain insufficiently elucidated, particularly concerning their contributions to facilitating the conversion of inert chemical bonds.",37,48,HP-(O)-R'R″,Chemical
41889763_2,"Notably, H-phosphoryl compounds, especially the commercially available, bench-stable, and inexpensive HP-(O)-Ph2 used in this study, were discovered for the first time to function as both a defluorinative surrogate and an H-reagent, displaying unconventional HDF reactivity with the assistance of water.",9,21,H-phosphoryl,Chemical
41889763_2,"Notably, H-phosphoryl compounds, especially the commercially available, bench-stable, and inexpensive HP-(O)-Ph2 used in this study, were discovered for the first time to function as both a defluorinative surrogate and an H-reagent, displaying unconventional HDF reactivity with the assistance of water.",102,112,HP-(O)-Ph2,Chemical
41889763_2,"Notably, H-phosphoryl compounds, especially the commercially available, bench-stable, and inexpensive HP-(O)-Ph2 used in this study, were discovered for the first time to function as both a defluorinative surrogate and an H-reagent, displaying unconventional HDF reactivity with the assistance of water.",222,231,H-reagent,Chemical
41889763_2,"Notably, H-phosphoryl compounds, especially the commercially available, bench-stable, and inexpensive HP-(O)-Ph2 used in this study, were discovered for the first time to function as both a defluorinative surrogate and an H-reagent, displaying unconventional HDF reactivity with the assistance of water.",297,302,water,Chemical
41887981_1,"Loss of the mitochondrial NAD kinase, which phosphorylates NAD(H) to generate mitochondrial NADP(H), disrupts NADP(H)-dependent pathways that sustain oxidative metabolism and systemic energy balance.",26,36,NAD kinase,Gene
41887981_1,"Loss of the mitochondrial NAD kinase, which phosphorylates NAD(H) to generate mitochondrial NADP(H), disrupts NADP(H)-dependent pathways that sustain oxidative metabolism and systemic energy balance.",59,65,NAD(H),Chemical
41887981_1,"Loss of the mitochondrial NAD kinase, which phosphorylates NAD(H) to generate mitochondrial NADP(H), disrupts NADP(H)-dependent pathways that sustain oxidative metabolism and systemic energy balance.",92,99,NADP(H),Chemical
41887981_1,"Loss of the mitochondrial NAD kinase, which phosphorylates NAD(H) to generate mitochondrial NADP(H), disrupts NADP(H)-dependent pathways that sustain oxidative metabolism and systemic energy balance.",110,117,NADP(H),Chemical
41858737_1,"While bulk tumor cells are often dependent on glycolysis, CSCs demonstrate metabolic plasticity can switch between glycolysis and OXPHOS (oxidative phosphorylation) depending on context.",11,16,tumor,Disease
41849049_1,"Classical models cast CaMKII as a Ca2+/calmodulin-activated kinase that, once phosphorylated, persists autonomously to encode synaptic memory.",22,28,CaMKII,Gene
41849049_1,"Classical models cast CaMKII as a Ca2+/calmodulin-activated kinase that, once phosphorylated, persists autonomously to encode synaptic memory.",34,66,Ca2+/calmodulin-activated kinase,Gene
41868506_1,Rice senses salinity using receptor-like kinases and Ca2+-dependent signaling pathway but the initial stages of the response and down-stream phosphorylation cascades have not been characterized well.,0,4,Rice,Species
41868506_1,Rice senses salinity using receptor-like kinases and Ca2+-dependent signaling pathway but the initial stages of the response and down-stream phosphorylation cascades have not been characterized well.,27,48,receptor-like kinases,Gene
41868506_1,Rice senses salinity using receptor-like kinases and Ca2+-dependent signaling pathway but the initial stages of the response and down-stream phosphorylation cascades have not been characterized well.,53,57,Ca2+,Chemical
41863615_1,"Concurrently, exercise improves metabolic adaptation and sustains antitumor effects via metabolic reprogramming, which involves enhancing mitochondrial oxidative phosphorylation and increasing lactate-mediated stemness.",193,200,lactate,Chemical
41861913_1,"While metabolic alterations and substrate utilization inflexibility have been well studied and are considered hallmarks of heart failure pathogenesis, the overwhelming majority of these investigations have focused on the health and function of the mitochondria in cardiac myocytes; for good reason given the mitochondria is the location of oxidative phosphorylation complexes that, although debated, can form respiratory super complexes to generate ATP in conjunction with the electron transport chain and TCA cycle.",123,136,heart failure,Disease
41861913_1,"While metabolic alterations and substrate utilization inflexibility have been well studied and are considered hallmarks of heart failure pathogenesis, the overwhelming majority of these investigations have focused on the health and function of the mitochondria in cardiac myocytes; for good reason given the mitochondria is the location of oxidative phosphorylation complexes that, although debated, can form respiratory super complexes to generate ATP in conjunction with the electron transport chain and TCA cycle.",449,452,ATP,Chemical
41861913_1,"While metabolic alterations and substrate utilization inflexibility have been well studied and are considered hallmarks of heart failure pathogenesis, the overwhelming majority of these investigations have focused on the health and function of the mitochondria in cardiac myocytes; for good reason given the mitochondria is the location of oxidative phosphorylation complexes that, although debated, can form respiratory super complexes to generate ATP in conjunction with the electron transport chain and TCA cycle.",506,509,TCA,Chemical
41845971_1,"However, in over 95% of ALS cases, TDP-43 mislocalises from the nucleus to the cytoplasm, where it enriches in cytoplasmic inclusions that are marked by the presence of misfolded, ubiquitinated, phosphorylated and fragmented protein species of TDP-43.",24,27,ALS,Disease
41845971_1,"However, in over 95% of ALS cases, TDP-43 mislocalises from the nucleus to the cytoplasm, where it enriches in cytoplasmic inclusions that are marked by the presence of misfolded, ubiquitinated, phosphorylated and fragmented protein species of TDP-43.",35,41,TDP-43,Gene
41845971_1,"However, in over 95% of ALS cases, TDP-43 mislocalises from the nucleus to the cytoplasm, where it enriches in cytoplasmic inclusions that are marked by the presence of misfolded, ubiquitinated, phosphorylated and fragmented protein species of TDP-43.",244,250,TDP-43,Gene
41868184_1,"Furthermore, anthraquinones inhibit pyroptosis, apoptosis, tau phosphorylation, Aβ/α-synuclein aggregation, and acetylcholinesterase activity, while restoring metal homeostasis, activating estrogen receptors, modulating gut microbiota, increasing BDNF levels, and preserving blood-brain barrier permeability.",13,27,anthraquinones,Chemical
41868184_1,"Furthermore, anthraquinones inhibit pyroptosis, apoptosis, tau phosphorylation, Aβ/α-synuclein aggregation, and acetylcholinesterase activity, while restoring metal homeostasis, activating estrogen receptors, modulating gut microbiota, increasing BDNF levels, and preserving blood-brain barrier permeability.",59,62,tau,Gene
