pmid,title,abstract
41846286,Mechanisms of social evolution from cockroaches to termites.,"The transition from solitary ancestral cockroaches to wood-feeding cockroaches exhibiting biparental care and termites displaying sibling altruism is closely linked to their ecological specialization in feeding on nutrient-poor dead wood. However, the underlying genomic evolutionary mechanisms remain unclear. To investigate this issue, the research team led by Sheng Li from South China Normal University conducted a multi-omics comparative analysis of genomes and transcriptomes across eight Blattodea species. They found that genomes progressively contracted during the evolution from cockroaches to termites. In wood-feeding cockroaches, the downregulation of genes associated with oxidative phosphorylation and peroxisomes constrained the growth and development rates of their offspring, which aligns with the observed slow larval growth. Termites, on the other hand, lost key genes involved in sperm motility, providing genomic support for the hypothesis that their reproductive division of labor is based on monogamy. Furthermore, termites achieved caste differentiation by co-opting nutrition-sensitive core developmental signaling pathways, such as juvenile hormone, insulin, epidermal growth factor receptor, and decapentaplegic (Dpp). This mechanism enables workers to exhibit high energy metabolism early in development to meet labor demands, while reproductive nymphs highly express energy metabolism-related genes later in development to ensure reproductive functions. This study systematically reveals the homeostatic maintenance mechanisms of termites as ""superorganisms"" and elucidates, at the molecular level, the evolutionary basis of social caste differentiation and energy allocation strategies."
41850541,TAOK3 promotes ccRCC progression by phosphorylating ASAP2.,"Clear cell renal cell carcinoma (ccRCC) is the most common subtype of kidney cancer and is characterized by high metastatic propensity and poor clinical outcomes. Elucidating the molecular mechanisms underlying ccRCC progression is therefore essential for the development of more effective therapeutic strategies. In this study, we identified thousand and one amino acid protein kinase 3 (TAOK3) as a critical oncogenic regulator in ccRCC. TAOK3 was markedly overexpressed in ccRCC tumor tissues and cell lines. Gain- and loss-of-function assays demonstrated that TAOK3 significantly promotes ccRCC cell proliferation, migration, and invasion in vitro. Mechanistically, immunoprecipitation and immunofluorescence analyses revealed that TAOK3 interacts with ASAP2 (ArfGAP with SH3 domain, ankyrin repeat, and PH domain 2) in the cytoplasm. Mass spectrometry coupled with phosphosite prediction analysis identified four serine residues (S701, S712, S722, and S728) on ASAP2 as phosphorylation targets of putative phosphorylation sites mediated by TAOK3. These phosphorylation events were further by co-immunoprecipitation and were essential for the pro-metastatic activity of the TAOK3-ASAP2 signaling axis. Collectively, these findings reveal a previously unrecognized TAOK3-dependent phosphorylation mechanism that drives ccRCC progression, and identify the TAOK3-ASAP2 axis as a promising therapeutic target for metastatic ccRCC."
41864544,HADHA in Cardiovascular Disease: From Mitochondrial Dysfunction to Therapeutic Targets.,"HADHA, encoding the α-subunit of MTP, plays a pivotal role in long-chain fatty acid β-oxidation and mitochondrial energy homeostasis. HADHA dysfunction disrupts energy balance by causing toxic metabolite buildup, impairing oxidative phosphorylation, and aberrant cardiolipin remodeling. These disturbances contribute to metabolic dysfunction and the development of cardiovascular diseases. This review summarizes the structural biology, metabolic functions, and regulatory mechanism of HADHA. We further explore its role in cardiac metabolic remodeling, underscoring its involvement in various cardiovascular diseases. In addition, we discuss emerging therapeutic strategies targeting HADHA-related pathways, including molecular interventions and metabolic modulation. By integrating molecular insights with clinical applications, this review highlights HADHA as a promising target in cardiovascular precision medicine and offers new approaches for diagnosing and treating fatty acid oxidation disorders."
41856254,"Tau phosphorylation homeostasis: Mechanisms, targets, and therapeutic implications in Alzheimer's disease.","Neurofibrillary tangles, composed of excessively phosphorylated tau, are a core neuropathological hallmark of Alzheimer's disease (AD). However, therapeutic strategies aimed at directly clearing neurofibrillary tangles have demonstrated limited clinical efficacy, shifting the research focus towards the fundamental underlying mechanism- the dysregulation of tau phosphorylation. Evidence indicates that tau physiological phosphorylation is indispensable for microtubule stability and normal neuronal function, while its aberrant hyperphosphorylation drives neurodegeneration. Consequently, restoring tau phosphorylation homeostasis, rather than merely eliminating the pathological protein, has emerged as a promising therapeutic paradigm. This review systematically delineates the physiological functions and pathological mechanisms of tau phosphorylation, highlighting its central role in AD pathogenesis. We summarize recent advances in drug development targeting key kinases and phosphatases, and discuss the diagnostic value and application prospects of tau phosphorylation biomarkers. Ultimately, this study aims to provide a theoretical framework for novel precision treatment strategies in AD."
41869306,"Immunometabolism in rheumatoid arthritis: mechanisms, biomarkers, and the path to precision medicine.","Synovitis and gradual joint degeneration are hallmarks of rheumatoid arthritis (RA), a chronic inflammatory illness. To sustain inflammation and tissue damage, pathogenic immune and stromal cells undergo specific metabolic reprogramming that alters glycolysis, oxidative phosphorylation, and lipid metabolism. This pathology is driven by immunometabolic dysregulation, according to new research. This review summarizes the current understanding of cell-type-specific immunometabolic dysregulation in RA, with particular attention to T cells, macrophages, B cells, and fibroblast-like synoviocytes. We assess how high-dimensional biomarkers, such as blood-based metabolomic, transcriptomic, and proteomic signatures, and synovial molecular pathotypes can be used to stratify patients and predict how well biologic and targeted treatments will work. We also reviewed treatment approaches targeting immunometabolic pathways, including new metabolic inhibitors and drug repurposing, such as metformin. To facilitate a more individualized and efficient RA treatment, we conclude by offering a clinically applicable paradigm to integrate immunometabolic profiling into precision medicine."
41862111,Micropatterning transcriptionally and phenotypically reprograms endothelial cells.,"Vascular occlusions are a major cause of cardiovascular disease and require interventions including graft bypass surgery; yet, the development of synthetic vascular grafts remains a challenge due to the inability of synthetic biomaterials to support an anti-immunogenic endothelium. Topographical micropatterning of biophysical cues offers a promising strategy to enhance graft endothelialization. As the interface between the biomaterial and blood, endothelial cells provide a bioactive interface which regulates inflammation. We utilized topographical micropatterning of polyurethane biomaterial to induce endothelial cell elongation and alignment and measured the resultant transcriptional changes using bulk RNA-sequencing. Cell phenotype was characterized by gene and protein expression as well as chemokine secretion. The biomaterial micropatterning-modulated elongated and aligned morphology promoted an anti-inflammatory transcriptome, reduced pro-inflammatory chemokine secretion, and induced the transcription coregulator yes-associated protein (YAP) phosphorylation, supporting the anti-immunogenic properties of endothelial cells. Cytoskeletal regulation of this anti-immunogenic phenotype was quantified through measurement of intermediate filament vimentin regulation of YAP localization and endothelial pro-immunogenic gene expression. Aggregation of vimentin was positively correlated with YAP dephosphorylation and suppressed proinflammatory gene expression, indicating that endothelial elongation and alignment influence gene regulation and cellular function independent of vimentin-mediated mechanisms. The ability of micropatterned endothelial cells to maintain their anti-immunogenic functions under pro-inflammatory conditions was demonstrated by the increased phosphorylation of YAP and decrease in pro-inflammatory IL-8 release. Our study highlights the potential of biomaterial cues to regulate endothelial cell behavior for vascular graft design. STATEMENT OF SIGNIFICANCE: We used topographical micropatterning to separate the role of endothelial monolayer morphology from unidirectional blood flow and test how architecture alone regulates gene programs. Micropatterned substrates produced a reproducibly elongated, aligned endothelium with coordinated modeling of the vimentin intermediate filament network. Bulk transcriptomics revealed a distinct morphology-associated expression state, including reduced inflammatory signaling and altered secretory profiles, alongside shifts in mechanosensitive regulatory programs and downstream transcriptional signatures. Together, these findings link cytoskeletal organization to endothelial mechanotransduction and highlight biomaterial topography as a design lever to tune endothelial function for preclinical and clinical applications."
41895230,Pseudokinases in neurodevelopment and disease.,"Pseudokinases are enigmatic proteins that evolved such that they retained the evolutionarily conserved kinase-like fold but lost key residues required for substrate phosphorylation. Pseudokinases have unique functions ranging from altered enzymatic ability, modulation of other protein kinases, and acting as scaffolds or substrate sponges. Nowhere perhaps is this functional diversity more evident than the seemingly myriad roles of pseudokinases in brain development. Not surprisingly, mutations in pseudokinases are associated with several clinically significant neurodevelopmental disorders. Here, we review 5 such pseudokinases, their known functional roles in brain development, disease association, and the unanswered questions that remain. Addressing the unexplored landscape of pseudokinases in neurological disorders holds promise of uncovering important insights into neuropathology and novel therapeutic targets. SIGNIFICANCE STATEMENT: Pseudokinases are understudied proteins that lack the catalytic ability to mediate phosphorylation, yet, they perform extraordinary and physiologically essential signaling functions. This review highlights the importance of pseudokinases in brain development and how their dysregulation leads to neurological disorders. Greater understanding of the structure, function, and regulation of pseudokinases is critical for the design of small molecules that can modulate their function."
41847111,Promotion of breast cancer by the DNPH1 enzyme.,"To broaden understanding of breast cancer pathophysiology, we investigated the highly understudied DNPH1 enzyme in this disease. We found that DNPH1 is overexpressed in breast and also in prostate and lung tumors, correlating with disease aggressiveness. DNPH1 downregulation diminished the oncogenic potential of breast cancer cells and compromised respective stem cells. Likewise, DNPH1 ablation decreased the oncogenicity of lung cancer cells. Knockout of Dnph1 in mice revealed that DNPH1 is not essential for development, yet crucial for HER2-mediated mammary tumor formation. Notably, Dnph1 knockout reduced angiogenesis in HER2-induced mammary tumors and elevated AMP levels. This was accompanied by increased AMP-activated protein kinase activity and phosphorylation of YAP1, implying tapered activity of the YAP1 oncoprotein. These data have extensively shed light onto the cellular and physiological functions of the enigmatic DNPH1 protein in cancer. Overall, this highlights that DNPH1 is a promising target for cancer therapy."
41847664,"Discovery of dihydrospiro[cyclopropane-1,7'-pyrrolo[3,4-","Ataxia telangiectasia and Rad3-related (ATR) kinase plays a critical role in the DNA damage response (DDR), making it a promising target for cancer therapy. Herein, a series of dihydrospiro[cyclopropane-1,7'-pyrrolo[3,4-d]pyrimidine] derivatives have been identified as a novel class of ATR inhibitors. Among them, compound 10h exhibited the most excellent ATR kinase inhibitory activity, with an IC50 value of 6.89 nM. In vitro, 10h demonstrated potent anti-tumor activity and effectively inhibited niraparib-induced CHK1 phosphorylation in Granta-519. Pairwise drug combinational antiproliferative assays revealed that 10h and niraparib synergistically enhanced antiproliferative effects against Granta-519. These results suggested that 10h holds promise for further development as a lead compound for the design of ATR kinase-targeted therapies."
41854818,Unveiling the multifaceted roles of BCL3: biological functions and disease implications.,"BCL3 (B-cell CLL/lymphoma 3), initially identified in the t(14;19) chromosomal translocation in B-cell malignancies, is an atypical member of the inhibitor of NF-κB (IκB) protein family. Unlike classical IκB proteins, BCL3 predominantly localizes to the nucleus, where it exerts unique bidirectional transcriptional regulatory functions within the NF-κB signaling pathway. This complex functionality is finely modulated by post-translational modifications, particularly phosphorylation. Under pathological conditions, BCL3 functions as an oncogene, driving abnormal neoplastic cell proliferation, inhibiting apoptosis, and promoting metastasis and chemotherapy resistance in various hematological malignancies and solid neoplasms by activating multiple oncogenic signaling pathways. Conversely, BCL3 also serves as a critical regulatory factor of immune homeostasis, modulating the functions of macrophages, T cells, and dendritic cells (DCs), thereby influencing the pathogenesis of immune-related disorders. Beyond oncology and immunology, BCL3 plays pivotal roles in the nervous, cardiovascular, digestive, and musculoskeletal systems, highlighting its broad physiological and pathological significance. This article systematically reviews the molecular structure, post-translational regulatory mechanisms, and multifaceted roles of BCL3 in neoplastic and non-neoplastic diseases. By consolidating current research, this review aims to provide novel insights into the diagnostic and therapeutic potential of targeting BCL3 in related pathologies."
41864233,Integration of plasma eMTBR-tau243 and p-tau217 in the diagnosis and stratification of Alzheimer's disease: a prospective cohort study.,"BACKGROUND: Alzheimer's disease pathology can be accurately identified with blood biomarkers (core 1 biomarkers), including plasma p-tau217 tests. Biomarkers that change longitudinally after diagnosis (core 2 biomarkers) can increase confidence that Alzheimer's disease pathology is contributing to cognitive symptoms. Plasma eMTBR-tau243 reflects tau tangle pathology and is a promising core 2 biomarker. We aimed to examine whether, among patients positive for plasma p-tau217, plasma eMTBR-tau243 improves classification of established Alzheimer's disease and predicts cognitive decline and tau tangle accumulation. METHODS: In this prospective cohort study, we included adults aged 40 years or older with subjective cognitive decline, mild cognitive impairment, or dementia, based on cognitive test results and clinical assessments, consecutively recruited at two memory clinics in Sweden, as part of the Swedish BioFINDER-2 study. Data were collected prospectively specifically for the purposes of this study. We validated our findings in a cohort of patients from the Knight Alzheimer Disease Research Center (ARDC), which included individuals determined to be cognitively unimpaired or to have cognitive impairment. Using mass spectrometry techniques, plasma p-tau217 was measured as a ratio to a non-phosphorylated peptide (%p-tau217), and eMTBR-tau243 was measured as a concentration. A priori derived thresholds for positivity were used. The primary outcome was established Alzheimer's disease based on both Alzheimer's disease pathology-specific CSF or PET biomarkers and clinical assessment, in accordance with the International Working Group definition. This study was registered with ClinicalTrials.gov, NCT03174938. FINDINGS: Between May 18, 2017, and Sept 8, 2023, we enrolled 572 patients with cognitive symptoms (142 with subjective cognitive decline, 259 with mild cognitive impairment, and 171 with dementia). 291 (51%) of 572 patients were female and 281 (49%) were male. All potentially eligible participants were included. Follow-up data collection was done until Sept 9, 2024. 350 (61%) of 572 patients had positive plasma %p-tau217. Among these, 341 (97%) were amyloid β (Aβ)-positive by CSF biomarkers or PET and 199 (57%) had established Alzheimer's disease (positive predictive value [PPV] 57%, 95% CI 51-61, for %p-tau217 alone). 194 (55%) of 350 %p-tau217-positive patients were also positive for eMTBR-tau243, with an accuracy of 81% (95% CI 76-84), PPV 84% (95% CI 78-88), negative predictive value (NPV) 77% (95% CI 68-82), and sensitivity 82% (95% CI 76-87) for established Alzheimer's disease, in cross-sectional analyses. Findings were similar in the validation cohort. Positive eMTBR-tau243 was associated with worse longitudinal cognitive decline and longitudinal tau tangle accumulation in %p-tau217 positive patients. Among %p-tau217 positive individuals, eMTBR-tau243 had an accuracy of 87%, PPV 76%, and NPV 90% in identifying individuals with high tau-PET load. INTERPRETATION: Plasma %p-tau217 can confirm Aβ-positivity, while eMTBR-tau243 can confirm clinically symptomatic Alzheimer's disease. Initial testing with %p-tau217 followed by eMTBR-tau243 in %p-tau217-positive patients could help assess whether Alzheimer's disease pathology is causing symptoms. Plasma eMTBR-tau243 might also help in determining the severity of tau tangle burden, which could be useful in guiding therapeutic decisions. FUNDING: National Institute of Aging, European Research Council, Alzheimer's Association, GHR Foundation, Swedish Research Council, ERA PerMed, Knut and Alice Wallenberg foundation, Strategic Research Area MultiPark at Lund University, Swedish Alzheimer Foundation, Swedish Brain Foundation, Parkinson foundation of Sweden, Cure Alzheimer's fund, Rönström Family Foundation, Berg Family Foundation, Konung Gustaf V:s och Drottning Victorias Frimurarestiftelse, Skåne University Hospital Foundation, Michael J Fox Foundation, Lilly Research Award Program, Regionalt Forskningsstöd (Södra sjukvårdsregionen), Wallenberg AI; Autonomous Systems and Software Program and Data-Driven Life Science joint call for research projects, Greta and Johan Kock Foundation, and Swedish federal Government under the ALF agreement."
